Chapter,Type,Type#,Formula#,Path,latex
6,6.26,Theorem,8,functional/6.26 Theorem_6_8.jpg,"
\[
\left|\Lambda_{1} \psi\right| \leq C \int_{K}|\psi(x)| d x \quad(\psi \in Y)
\]"
13,13.8,Theorem,5,functional/13.8 Theorem_13_5.jpg,"$$
\[
\{y, z\} \in[V \mathscr{G}(T)]^{\perp} \quad \quad / / /
\]"
1,1.42,Theorem,3,functional/1.42 Theorem_1_3.jpg,"
\[
|\alpha|=\alpha_{1}+\cdots+\alpha_{n} .
\]"
12,12.44,Theorem,2,functional/12.44 Theorem_12_2.jpg,"
\[
a_{n}(\lambda)=\frac{1}{n}\left(1+\lambda+\cdots+\lambda^{n-1}\right)
\]"
3,3.20,and,4,functional/3.20 and (b) of Theorem_3_4.jpg,"
\[
\sum_{i=1}^{n} c_{i} u_{i}<\sum_{i=1}^{n} c_{i} t_{i}
\]"
7,7.245,Theorem,1,functional/7.245 Theorem_7_1.jpg,"
\[
r>p+\frac{n}{2}
\]"
8,8.5,Theorem,10,functional/8.5 Theorem_8_10.jpg,"
\[
u(P(D) \phi)=\phi \quad\left(\phi \in \mathscr{D}\left(R^{n}\right)\right)
\]"
10,10.5,Definition,2,functional/10.5 Definition_10_2.jpg,"$$
\[
x^{-1} x=x x^{-1}=e
\]"
13,13.32,Theorem,20,functional/13.32 Theorem_13_20.jpg," $\quad P_{i} N x=N P_{i} x=M P_{i} x \quad[x \in \mathscr{D}(N), i=1,2,3, \ldots]$"
3,3.24,Theorem,6,functional/3.24 Theorem_3_6.jpg,"
\[
p \in A_{i} \subset x_{i}+\bar{V} \subset K+\bar{V},
\]"
10,10.1,Definition,5,functional/10.1 Definition_10_5.jpg,"
\[
x e=e x=x \quad(x \in A)
\]"
10,10.26,Definition,2,functional/10.26 Definition_10_2.jpg,"$$
\[
\tilde{f}(x)=\frac{1}{2 \pi i} \int_{\Gamma} f(\lambda)(\lambda e-x)^{-1} d \lambda
\]"
3,3.24,Theorem,4,functional/3.24 Theorem_3_4.jpg,"
\[
\overline{\operatorname{co}}(K)=\operatorname{co}\left(A_{1} \cup \cdots \cup A_{n}\right)
\]"
2,2.9,Theorem,2,functional/2.9 Theorem_2_2.jpg,"
\[
K=\bigcup_{n=1}^{\infty}(K \cap n E)
\]"
10,10.1,Definition,7,functional/10.1 Definition_10_7.jpg,"
\[
(x, \alpha)(y, \beta)=(x y+\alpha y+\beta x, \alpha \beta),
\]"
13,13.32,Theorem,22,functional/13.32 Theorem_13_22.jpg,"
\[
T=N\left(I+\sqrt{N^{*} N}\right)^{-1},
\]"
8,8.5,Theorem,12,functional/8.5 Theorem_8_12.jpg,"$$
\[
|\phi| \leq A r^{-N}\|P(D) \phi\| \quad\left(\phi \in \mathscr{D}\left(R^{n}\right)\right) .
\]"
11,11.20,Theorem,2,functional/11.20 Theorem_11_2.jpg,"
\[
2 Q_{n}(\lambda)=P_{n}(\lambda)+\overline{P_{n}(\bar{\lambda})}
\]"
13,13.24,Theorem,7,functional/13.24 Theorem_13_7.jpg," $\quad\left\|\Psi(f) x-\Psi\left(f_{n}\right) x\right\|^{2} \leq \int_{\Omega}\left|f-f_{n}\right|^{2} d E_{x, x} \rightarrow 0 \quad$ as $n \rightarrow \infty$,"
10,10.24,Lemma,5,functional/10.24 Lemma_10_5.jpg,"
\[
\frac{1}{2 \pi i} \int_{\Gamma}(\lambda e-x)^{-1} d \lambda=e .
\]"
7,7.245,Theorem,3,functional/7.245 Theorem_7_3.jpg, $\quad D_{i}^{r} F=\sum_{s=0}^{r}\left(\begin{array}{l}r \\ s\end{array}\right)\left(D_{i}^{r-s} \psi\right)\left(D_{i}^{s} f\right)=\sum_{s=0}^{r}\left(\begin{array}{l}r \\ s\end{array}\right)\left(D_{i}^{r-s} \psi\right) g_{i s}$.
1,1.42,Theorem,1,functional/1.42 Theorem_1_1.jpg,"$$
\[
p_{n}(f)=\sup \left\{|f(x)|: x \in K_{n}\right\},
\]"
3,3.20,and,6,functional/3.20 and (b) of Theorem_3_6.jpg,"
\[
\Lambda_{i} y=m_{i}=\int_{Q}\left(\Lambda_{i} f\right) d \mu \quad(1 \leq i \leq n)
\]"
9,9.15,Theorem,8,functional/9.15 Theorem_9_8.jpg,"
\[
\int_{-\infty}^{\infty} K(x) e^{-i x t} d x=\left\{\begin{array}{ll}
\hat{\sigma}(t) / i t & \text { if } t \neq 0 \\
M & \text { if } t=0
\end{array}\right.
\]"
10,10.9,Theorem,3,functional/10.9 Theorem_10_3.jpg,"
\[
\phi(x y)=\phi(a b)+\phi(x) \phi(y) .
\]"
6,6.4,Theorem,9,functional/6.4 Theorem_6_9.jpg,"
\[
\alpha \phi-\alpha_{0} \phi_{0} \in W
\]"
11,11.28,Theorem,11,functional/11.28 Theorem_11_11.jpg,"$$
\[
F(x)=F(u)+i F(v)=\Phi\left(x_{1}\right)+i \Phi\left(x_{2}\right),
\]"
10,10.35,Theorem,3,functional/10.35 Theorem_10_3.jpg,"
\[
\Gamma(y)=\{S y: S \in \Gamma\} .
\]"
13,13.11,Theorem,4,functional/13.11 Theorem_13_4.jpg,"
\[
\mathscr{G}\left(\left(T^{-1}\right)^{*}\right)=\left[V \mathscr{G}\left(T^{-1}\right)\right]^{\perp}=\mathscr{G}\left(T^{-1}\right)
\]"
3,3.1,Definition,2,functional/3.1 Definition_3_2.jpg,"$$
\[
f(x)-\alpha \leq p\left(x-x_{1}\right) \quad(x \in M)
\]"
13,13.23,and,11,functional/13.23 and Theorem_13_11.jpg,"
\[
\Psi(\bar{f}) \subset \Psi(f)^{*}
\]"
13,13.30,Theorem,5,functional/13.30 Theorem_13_5.jpg,"
\[
\Psi(f)(I-U)=i(I+U) .
\]"
12,12.40,Theorem,4,functional/12.40 Theorem_12_4.jpg,"
\[
Y=\{y \in A: F(x y)=0 \text { for every } x \in A\} .
\]"
12,12.40,Theorem,5,functional/12.40 Theorem_12_5.jpg,"
\[
x^{\prime}=x+Y \quad(x \in A) .
\]"
13,13.30,Theorem,4,functional/13.30 Theorem_13_4.jpg," $(\Psi(f) x, y)=\int_{\Omega} f d E_{x, y}^{\prime} \quad\left(x \in \mathscr{D}_{f}, y \in H\right)$."
13,13.23,and,10,functional/13.23 and Theorem_13_10.jpg,$\mathscr{D}(\Psi(f) \Psi(g))=\mathscr{D}_{g} \cap \mathscr{D}_{f g}$
3,3.1,Definition,3,functional/3.1 Definition_3_3.jpg,"
\[
f(y)+\alpha \leq p\left(y+x_{1}\right) \quad(y \in M) .
\]"
10,10.35,Theorem,2,functional/10.35 Theorem_10_2.jpg,"
\[
\Gamma=\{S \in \mathscr{B}(X): S T=T S\}
\]"
12,12.21,Theorem,1,functional/12.21 Theorem_12_1.jpg," $\quad(\Psi(f) x, y)=\int_{\Omega} f d E_{x, y} \quad\left(x, y \in H, f \in L^{\infty}(E)\right)$."
11,11.28,Theorem,10,functional/11.28 Theorem_11_10.jpg," $\quad x=x_{1}+i x_{2}, \quad x_{1} \in \bar{H}, \quad x_{2} \in \bar{H}, \quad\left\|x_{1}\right\|+\left\|x_{2}\right\| \leq \gamma\|x\|$."
6,6.4,Theorem,8,functional/6.4 Theorem_6_8.jpg,"
\[
\alpha \phi-\alpha_{0} \phi_{0}=\alpha\left(\phi-\phi_{0}\right)+\left(\alpha-\alpha_{0}\right) \phi_{0}
\]"
10,10.9,Theorem,2,functional/10.9 Theorem_10_2.jpg,"$$
\[
x=a+\phi(x) e, \quad y+b+\phi(y) e,
\]"
2,2.6,Theorem,1,functional/2.6 Theorem_2_1.jpg, $\sup _{\Lambda \in \Gamma}\|\Lambda x\|<\infty \quad$ for every $x \in X$.
9,9.15,Theorem,9,functional/9.15 Theorem_9_9.jpg, $\quad \int_{r}^{s} f(x) d x=(K * \phi)(s)-(K * \phi)(r) \quad(-\infty<r<s<\infty)$
3,3.20,and,7,functional/3.20 and (b) of Theorem_3_7.jpg,"
\[
E=\left\{\mu: \int_{Q} 1 d \mu=1\right\}
\]"
12,12.44,Theorem,1,functional/12.44 Theorem_12_1.jpg,"
\[
A_{n} x=\frac{1}{n}\left(x+U x+\cdots+U^{n-1} x\right)
\]"
13,13.24,Theorem,6,functional/13.24 Theorem_13_6.jpg,"
\[
\|\Psi(f) x\|^{2} \leq \int_{\Omega}|f|^{2} d E_{x, x} \quad\left(x \in \mathscr{D}_{f}\right)
\]"
7,7.245,Theorem,2,functional/7.245 Theorem_7_2.jpg, $\quad \int_{\Omega} g_{i k} \phi d m_{n}=(-1)^{k} \int_{\Omega} f D_{i}^{k} \phi d m_{n} \quad[\phi \in \mathscr{D}(\Omega)]$
10,10.24,Lemma,4,functional/10.24 Lemma_10_4.jpg," $\quad(\alpha e-x) y_{n}=y_{n+1} \quad(n=0, \pm 1, \pm 2, \ldots)$."
11,11.20,Theorem,3,functional/11.20 Theorem_11_3.jpg,"
\[
y_{n}=Q_{n}(x) \quad(n=1,2,3, \ldots)
\]"
10,10.5,Definition,1,functional/10.5 Definition_10_1.jpg,"
\[
\phi(x y)=\phi(x) \phi(y)
\]"
8,8.5,Theorem,13,functional/8.5 Theorem_8_13.jpg,"
\[
|u(\psi)| \leq A r^{-N}\|\psi\| \quad\left(\psi \in \mathscr{D}\left(R^{n}\right)\right) .
\]"
6,6.30,Theorem,8,functional/6.30 Theorem_6_8.jpg,"
\[
(u *(\phi * \psi))=((u * \phi) * \psi .
\]"
10,10.31,Theorem,6,functional/10.31 Theorem_10_6.jpg,"
\[
\tilde{f}(x)=Q(x)+P(x) \tilde{g}(x),
\]"
13,13.32,Theorem,23,functional/13.32 Theorem_13_23.jpg,"
\[
T=\int \phi d E,
\]"
10,10.1,Definition,6,functional/10.1 Definition_10_6.jpg,"
\[
\|e\|=1,
\]"
2,2.9,Theorem,3,functional/2.9 Theorem_2_3.jpg,"
\[
K \cap\left(x_{0}+V\right) \subset n E,
\]"
3,3.24,Theorem,5,functional/3.24 Theorem_3_5.jpg,"$$
\[
p=t_{1} y_{1}+\left(1-t_{1}\right) \frac{t_{2} y_{2}+\cdots+t_{N} y_{N}}{t_{2}+\cdots+t_{N}}
\]"
10,10.26,Definition,3,functional/10.26 Definition_10_3.jpg,"
\[
\tilde{f}(\alpha e)=f(\alpha) e
\]"
6,6.1,Definition,1,functional/6.1 Definition_6_1.jpg,"$$
\[
\int f^{\prime} \phi=-\int f \phi^{\prime} \quad(\phi \in \mathscr{D}) .
\]"
9,9.6,Definition,70,functional/9.6 Definition_9_70.jpg, $\quad \int_{-\infty}^{\infty} K(x) e^{-i t x} d x=\left(2-e^{-i t}-e^{-i \lambda t}\right) \frac{\zeta(1+i t)}{1+i t}$
3,3.10,Theorem,1,functional/3.10 Theorem_3_1.jpg,"$$
\[
V=\left\{x:\left|\Lambda_{i} x\right|<r_{i} \text { for } 1 \leq i \leq n\right\}
\]"
8,8.9,Theorem,6,functional/8.9 Theorem_8_6.jpg, $\quad|F(x)|^{2} \leq \int_{R^{n}}|\hat{f}(y)|^{2} d \mu_{t}(y) \int_{R^{n}}|\hat{u}(x-y)|^{2} d \mu_{-t}(y)$
13,13.35,Theorem,18,functional/13.35 Theorem_13_18.jpg,"$$
\[
R(\lambda) A x=\int_{0}^{\infty} e^{-\lambda t} \frac{d}{d t} Q(t) x d t=-x+\lambda R(\lambda) x
\]"
1,1.39,Theorem,2,functional/1.39 Theorem_1_2.jpg,"
\[
\{x:\|x\|<r\}=r U
\]"
11,11.11,Lemma,12,functional/11.11 Lemma_11_12.jpg,"$$
\[
\int_{\Delta}\left|\hat{f}_{n}-\hat{f}\right|^{2} d \mu=\int_{0}^{1}\left|f_{n}-f\right|^{2} d m \rightarrow 0
\]"
3,3.30,Definition,4,functional/3.30 Definition_3_4.jpg,"
\[
\Delta_{r}=\{z \in \mathbb{C}:|z| \leq r\} .
\]"
13,13.35,Theorem,5,functional/13.35 Theorem_13_5.jpg,"$$
\[
A_{\varepsilon} M_{t} x=A_{t} M_{\varepsilon} x \quad(\varepsilon>0, t>0, x \in X) .
\]"
10,10.12,Theorem,8,functional/10.12 Theorem_10_8.jpg,"
\[
M(r)=\max _{\theta}\left\|f\left(r e^{i \theta}\right)\right\| \quad(r>\rho(x))
\]"
3,3.18,Theorem,7,functional/3.18 Theorem_3_7.jpg,"
\[
\|x\| \leq \gamma \quad(x \in E) .
\]"
9,9.2,Lemma,5,functional/9.2 Lemma_9_5.jpg,"$$
\[
\left|\lambda^{-n} g\left(\lambda^{-1} x\right)-\lambda^{-n} g\left(\lambda^{-1}(x-y)\right)\right| .
\]"
13,13.38,Theorem,11,functional/13.38 Theorem_13_11.jpg,"
\[
\int_{\Delta}\left|a_{2 \varepsilon}-a_{\varepsilon}\right| d E_{x, x} \leq \frac{\varepsilon}{2} C_{x} \quad(0<\delta \leq 1)
\]"
10,10.12,Theorem,12,functional/10.12 Theorem_10_12.jpg,"
\[
\lambda^{n} e-x^{n}=(\lambda e-x)\left(\lambda^{n-1} e+\cdots+x^{n-1}\right)
\]"
6,6.25,Theorem,1,functional/6.25 Theorem_6_1.jpg,"
\[
\Lambda=\sum_{|\alpha| \leq N} c_{\alpha} D^{\alpha} \delta_{p}
\]"
7,7.4,and,2,functional/7.4 and from Theorem_7_2.jpg,"
\[
\hat{\mathbf{1}}(\phi)=1(\hat{\phi})=\int_{R^{n}} \hat{\phi} d m_{n}=\phi=\delta(\phi)
\]"
9,9.6,Definition,4,functional/9.6 Definition_9_4.jpg,"
\[
\lim _{|x| \rightarrow \infty}(f * \psi)(x)=0
\]"
6,6.29,Definition,4,functional/6.29 Definition_6_4.jpg,"
\[
(u * v)(x)=\int_{R^{n}} u(y)\left(\tau_{x} \check{v}\right)(y) d y
\]"
6,6.29,Definition,5,functional/6.29 Definition_6_5.jpg," $\quad(u * \phi)(x)=u\left(\tau_{x} \varnothing\right) \quad\left(u \in \mathscr{D}^{\prime}, \phi \in \mathscr{D}, x \in R^{n}\right)$,"
9,9.6,Definition,5,functional/9.6 Definition_9_5.jpg,"
\[
\left\|f * \psi-f_{i} * \psi\right\|_{\infty} \leq\left\|f-f_{i}\right\|_{1}\|\psi\|_{\infty},
\]"
7,7.4,and,3,functional/7.4 and from Theorem_7_3.jpg,"
\[
\hat{\delta}(\phi)=\delta(\hat{\phi})=\hat{\phi}=\int_{R^{n}} \phi d m_{n}=1(\phi)
\]"
12,12.41,Theorem,1,functional/12.41 Theorem_12_1.jpg,"
\[
\sum_{u}\left\|\pi_{u}(v)\right\|^{2}<\infty
\]"
10,10.12,Theorem,13,functional/10.12 Theorem_10_13.jpg,"
\[
\rho(x) \leq \inf _{n \geq 1}\left\|x^{n}\right\|^{1 / n}
\]"
13,13.38,Theorem,10,functional/13.38 Theorem_13_10.jpg,"
\[
\int_{\Delta}\left|a_{\varepsilon}\right|^{2} d E_{x, x}=\left\|A_{\varepsilon} x\right\|^{2} \leq C_{x} \quad(0<\varepsilon \leq 1)
\]"
9,9.2,Lemma,4,functional/9.2 Lemma_9_4.jpg,"
\[
h_{\lambda}(x)=\int_{R^{n}} f(y)\left[e^{-i t \cdot y} g_{\lambda}(x)-g_{\lambda}(x-y)\right] d m_{n}(y)
\]"
3,3.18,Theorem,6,functional/3.18 Theorem_3_6.jpg,"
\[
\sup _{x \in E}|\Lambda x|<\infty \quad\left(\Lambda \in X^{*}\right)
\]"
13,13.23,and,3,functional/13.23 and Theorem_13_3.jpg," and hence (b).
se now that $x \in \mathscr{D}_{r}$ and $y \in \mathscr{D}_{\bar{r}}=\mathscr{D}_{r}$. It follows from "
10,10.12,Theorem,9,functional/10.12 Theorem_10_9.jpg,"$$
\[
\left\|x^{n}\right\| \leq r^{n+1} M(r),
\]"
13,13.35,Theorem,4,functional/13.35 Theorem_13_4.jpg,"
\[
M_{t} x=\frac{1}{t} \int_{0}^{t} Q(s) x d s \quad(x \in X, t>0)
\]"
6,6.17,Theorem,2,functional/6.17 Theorem_6_2.jpg,"$$
\[
D^{\alpha} \Lambda_{i} \rightarrow D^{\alpha} \Lambda \text { in } \mathscr{D}^{\prime}(\Omega),
\]"
13,13.35,Theorem,19,functional/13.35 Theorem_13_19.jpg,"
\[
R(\lambda)(\lambda I-A) x=x \quad(x \in \mathscr{D}(A)) .
\]"
8,8.9,Theorem,7,functional/8.9 Theorem_8_7.jpg,"
\[
\int_{R^{n}}|F|^{2} d \mu_{s} \leq 2^{|s|} \gamma\|f\|_{t}^{2}\|u\|_{s}^{2}
\]"
6,6.1,Definition,2,functional/6.1 Definition_6_2.jpg,"$$
\[
\int f^{(k)} \phi=(-1)^{k} \int f \phi^{(k)} \quad(\phi \in \mathscr{D}, k=1,2,3, \ldots)
\]"
8,8.9,Theorem,5,functional/8.9 Theorem_8_5.jpg,"
\[
\left|(f u)^{\wedge}\right|=|\hat{u} * \hat{f}| \leq|\hat{u}| *|\hat{f}|=F .
\]"
3,3.30,Definition,7,functional/3.30 Definition_3_7.jpg,"
\[
\left\{\frac{f(z)-f}{z}: 0<|z| \leq r\right\}
\]"
1,1.39,Theorem,1,functional/1.39 Theorem_1_1.jpg,"
\[
\|x\|=\mu(x) \quad(x \in X)
\]"
11,11.11,Lemma,11,functional/11.11 Lemma_11_11.jpg,"
\[
\mu\left(E^{0}\right)=\mu(E)=\mu(\bar{E}) .
\]"
3,3.20,Theorem,8,functional/3.20 Theorem_3_8.jpg,"
\[
\left(a_{1}, \ldots, a_{k+1}\right) \rightarrow\left(\sum_{1}^{k+1} a_{i} x_{i}, \sum_{1}^{k+1} a_{i}\right)
\]"
13,13.35,Theorem,6,functional/13.35 Theorem_13_6.jpg,"
\[
A M_{t} x=A_{t} x \quad(x \in X) .
\]"
12,12.38,Theorem,8,functional/12.38 Theorem_12_8.jpg,"
\[
S T=M_{\lambda}=T S .
\]"
13,13.32,Theorem,8,functional/13.32 Theorem_13_8.jpg,"
\[
\mathscr{R}\left(P_{i}\right) \subset \mathscr{D}(N) \quad(i=1,2,3, \ldots)
\]"
3,3.18,Theorem,4,functional/3.18 Theorem_3_4.jpg,"
\[
|\Lambda x| \leq \gamma \quad(x \in E, \Lambda \in K) .
\]"
9,9.2,Lemma,6,functional/9.2 Lemma_9_6.jpg, $\quad\left\|h_{\lambda}\right\|_{1} \leq \int_{R^{n}}|f(y)| d m_{n}(y) \int_{R^{n}}\left|g(\xi)-g\left(\xi-\lambda^{-1} y\right)\right| d m_{n}(\xi)$
13,13.38,Theorem,12,functional/13.38 Theorem_13_12.jpg,"$$
\[
\sum_{n=1}^{\infty}\left|a_{2-n+1}-a_{2-n}\right|<\infty \quad \text { a.e. }\left[E_{x, x}\right]
\]"
10,10.12,Theorem,11,functional/10.12 Theorem_10_11.jpg,"
\[
\underset{n \rightarrow \infty}{\lim \sup }\left\|x^{n}\right\|^{1 / n} \leq \rho(x)
\]"
6,6.25,Theorem,2,functional/6.25 Theorem_6_2.jpg,"
\[
\delta_{p}(\phi)=\phi(p) .
\]"
12,12.41,Theorem,3,functional/12.41 Theorem_12_3.jpg,"
\[
\pi_{u}(S v)=S_{u} \pi_{u}(v)
\]"
7,7.7,The,7,functional/7.7 The Inversion Theorem_7_7.jpg,"$$
\[
\int_{R^{n}} f_{0} \hat{g} d m_{n}=\int_{R^{n}} f \hat{g} d m_{n} \quad\left(g \in \mathscr{S}_{n}\right)
\]"
7,7.4,and,1,functional/7.4 and from Theorem_7_1.jpg,"$$
\[
1(\phi)=\int_{R^{n}} 1 \phi d m_{n}=\int_{R^{n}} \phi d m_{n}
\]"
9,9.6,Definition,7,functional/9.6 Definition_9_7.jpg,"
\[
\lim _{|x| \rightarrow \infty}(f * \phi)(x)=a
\]"
9,9.6,Definition,6,functional/9.6 Definition_9_6.jpg,"
\[
\left(\left(\tau_{y} f\right) * \psi\right)(x)=\left(\tau_{y}(f * \psi)\right)(x)=(f * \psi)(x-y),
\]"
6,6.29,Definition,6,functional/6.29 Definition_6_6.jpg,"
\[
\left(\tau_{x} u\right)(\phi)=u\left(\tau_{-x} \phi\right) \quad\left(\phi \in \mathscr{D}, x \in R^{n}\right)
\]"
7,7.7,The,6,functional/7.7 The Inversion Theorem_7_6.jpg,"
\[
\Phi^{2} g=\check{g}
\]"
12,12.41,Theorem,2,functional/12.41 Theorem_12_2.jpg,"
\[
\left(v^{\prime}, v^{\prime \prime}\right)=\sum_{u}\left(\pi_{u}\left(v^{\prime}\right), \pi_{u}\left(v^{\prime \prime}\right)\right) \quad\left(v^{\prime}, v^{\prime \prime} \in H\right)
\]"
6,6.25,Theorem,3,functional/6.25 Theorem_6_3.jpg, $\left(D^{\alpha} \phi\right)=0 \quad$ for all $\alpha$ with $|\alpha| \leq N$.
10,10.12,Theorem,10,functional/10.12 Theorem_10_10.jpg,"
\[
\lim _{n \rightarrow \infty} \sup \left\|x^{n}\right\|^{1 / n} \leq r \quad(r>\rho(x))
\]"
13,13.38,Theorem,13,functional/13.38 Theorem_13_13.jpg,"
\[
\int_{\Delta}|b|^{2} d E_{x, x} \leq C_{x}
\]"
3,3.18,Theorem,5,functional/3.18 Theorem_3_5.jpg,"
\[
E \subset t \bar{V} \subset t U \quad(t>\gamma)
\]"
13,13.32,Theorem,9,functional/13.32 Theorem_13_9.jpg,"
\[
\left(N P_{i}\right)^{*} \subset\left(P_{i} N\right)^{*}=N^{*} P_{i}
\]"
7,7.19,Theorem,8,functional/7.19 Theorem_7_8.jpg,"
\[
((u * \phi) * \psi)=(u *(\phi * \psi)) \text {. }
\]"
12,12.38,Theorem,9,functional/12.38 Theorem_12_9.jpg,"$$
\[
\left(M_{\lambda} g\right)(z)=(z-\lambda) g(z) \quad(z \in D, g \in H)
\]"
13,13.35,Theorem,7,functional/13.35 Theorem_13_7.jpg,"
\[
A_{t} x=M_{t} y .
\]"
11,11.7,illustrate,4,"functional/11.7 illustrate this point. 11.5, Theorem_11_4.jpg","
\[
h(P)=P(y),
\]"
11,11.11,Lemma,10,functional/11.11 Lemma_11_10.jpg,"
\[
\int_{\Delta} \hat{f} d \mu=\int_{0}^{1} f d m
\]"
3,3.30,Definition,6,functional/3.30 Definition_3_6.jpg,"
\[
\left|z^{-1} \Lambda[f(z)-f]\right| \leq r^{-1} M(\Lambda) .
\]"
8,8.9,Theorem,4,functional/8.9 Theorem_8_4.jpg, $\quad \int_{R^{n}}|h(x-y)|^{2} d \mu_{s}(x) \leq 2^{|s|}\left(1+|y|^{2}\right)^{|s|} \int_{R^{n}}|h|^{2} d \mu_{s}$
13,13.36,Theorem,9,functional/13.36 Theorem_13_9.jpg,"
\[
T(t, \varepsilon)=\exp (t A S(\varepsilon))
\]"
7,7.23,Theorem,8,functional/7.23 Theorem_7_8.jpg,"
\[
f(z)=u\left(\phi_{z}\right) .
\]"
13,13.35,Theorem,3,functional/13.35 Theorem_13_3.jpg,"
\[
\|Q(t)\|=\left\|Q(t / n)^{n}\right\| \leq C^{n} \leq C^{1+t / \delta},
\]"
13,13.38,Theorem,17,functional/13.38 Theorem_13_17.jpg,"$$
\[
Q(t)=e^{t B} \quad(0 \leq t<\infty)
\]"
3,3.18,Theorem,1,functional/3.18 Theorem_3_1.jpg, $K=\left\{\Lambda \in X^{*}:|\Lambda x| \leq 1\right.$ for all $\left.x \in V\right\}$.
9,9.2,Lemma,3,functional/9.2 Lemma_9_3.jpg,"
\[
h_{\lambda}(x)=\hat{f}(t) g_{\lambda}(x)-\left(f * g_{\lambda}\right)(x)
\]"
13,13.6,Theorem,2,functional/13.6 Theorem_13_2.jpg,"$$
\[
\|\{a, b\}\|^{2}=\|a\|^{2}+\|b\|^{2} .
\]"
6,6.25,Theorem,7,functional/6.25 Theorem_6_7.jpg," $\quad\left|\left(\operatorname{grad} D^{\beta} \phi\right)(x)\right| \leq n \cdot \eta n^{N-i}|x|^{N-i} \quad(x \in K)$,"
12,12.41,Theorem,6,functional/12.41 Theorem_12_6.jpg,"
\[
\left\|T_{u}(x)\right\| \leq\|x\|=\left\|T_{x}(x)\right\|,
\]"
1,1.40,Definition,2,functional/1.40 Definition_1_2.jpg," $\quad \pi(x)+\pi(y)=\pi\left(x^{\prime}\right)+\pi\left(y^{\prime}\right), \quad \alpha \pi\left(x^{\prime}\right)=\alpha \pi(x)$."
6,6.29,Definition,2,functional/6.29 Definition_6_2.jpg,"
\[
\left(\tau_{x} \check{u}\right)(y)=\check{u}(y-x)=u(x-y) .
\]"
7,7.4,and,4,functional/7.4 and from Theorem_7_4.jpg, $\hat{1}=\delta \quad$ and $\quad \hat{\delta}=1$
9,9.6,Definition,2,functional/9.6 Definition_9_2.jpg," $\quad|\phi(x)-\phi(y)|<\varepsilon \quad$ if $x>A, y>A,|x-y|<\delta$."
