Definition,Statement
10.8 (closed curve),"['If the initial point $\\gamma(\\alpha)$ of $\\gamma$ coincides with its end point $\\gamma(\\beta)$, we call $\\gamma$ a closed curve.', '']"
10.8 (path),"['A path is a piecewise continuously differentiable curve in the plane. More explicitly, a path with parameter interval $[\\alpha, \\beta]$ is a continuous complex function $\\gamma$ on $[\\alpha, \\beta]$, such that the following holds: There are finitely many\npoints $s_{j}, \\alpha=s_{0}<s_{1}<\\cdots<s_{n}=\\beta$, and the restriction of $\\gamma$ to each interval $\\left[s_{j-1}, s_{j}\\right]$ has a continuous derivative on $\\left[s_{j-1}, s_{j}\\right]$; however, at the points $s_{1}, \\ldots, s_{n-1}$ the left- and right-hand derivatives of $\\gamma$ may differ.', '']"
10.8 (closed path),"['A closed path is a closed curve which is also a path.', '']"
10.8 (integral of function over path),"['Now suppose $\\gamma$ is a path, and $f$ is a continuous function on $\\gamma^{*}$. The integral of $f$ over $\\gamma$ is defined as an integral over the parameter interval $[\\alpha, \\beta]$ of $\\gamma$ :\n\n$$\n\\int_{\\gamma} f(z) d z=\\int_{\\alpha}^{\\beta} f(\\gamma(t)) \\gamma^{\\prime}(t) d t\n$$', '']"
10.8 (reparametrization),"['Let $\\varphi$ be a continuously differentiable one-to-one mapping of an interval $\\left[\\alpha_{1}, \\beta_{1}\\right]$ onto $[\\alpha, \\beta]$, such that $\\varphi\\left(\\alpha_{1}\\right)=\\alpha, \\varphi\\left(\\beta_{1}\\right)=\\beta$, and put $\\gamma_{1}=\\gamma \\circ \\varphi$. Then $\\gamma_{1}$ is a path with parameter interval $\\left[\\alpha_{1}, \\beta_{1}\\right]$; the integral of $f$ over $\\gamma_{1}$ is\n\n$$\n\\int_{\\alpha_{1}}^{\\beta_{1}} f\\left(\\gamma_{1}(t)\\right) \\gamma_{1}^{\\prime}(t) d t=\\int_{\\alpha_{1}}^{\\beta_{1}} f(\\gamma(\\varphi(t))) \\gamma^{\\prime}(\\varphi(t)) \\varphi^{\\prime}(t) d t=\\int_{\\alpha}^{\\beta} f(\\gamma(s)) \\gamma^{\\prime}(s) d s\n$$\n\nso that our ""reparametrization"" has not changed the integral:\n\n$$\n\\int_{\\gamma_{1}} f(z) d z=\\int_{\\gamma} f(z) d z\n$$', '']"
10.8 (equivalent paths),"['Whenever (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$> holds for a pair of paths $\\gamma$ and $\\gamma_{1}$ (and for all $f$ ), we shall regard $\\gamma$ and $\\gamma_{1}$ as equivalent.', '']"
10.8 (joining paths),"['It is convenient to be able to replace a path by an equivalent one, i.e., to choose parameter intervals at will. For instance, if the end point of $\\gamma_{1}$ coincides with the initial point of $\\gamma_{2}$, we may locate their parameter intervals so that $\\gamma_{1}$ and $\\gamma_{2}$ join to form one path $\\gamma$, with the property that\n\n$$\n\\int_{\\gamma} f=\\int_{\\gamma_{1}} f+\\int_{\\gamma_{2}} f\n$$\n\nfor every continuous $f$ on $\\gamma^{*}=\\gamma_{1}^{*} \\cup \\gamma_{2}^{*}$.', '']"
10.8 (path opposite),"['However, suppose that $[0,1]$ is the parameter interval of a path $\\gamma$, and $\\gamma_{1}(t)=\\gamma(1-t), 0 \\leq t \\leq 1$. We call $\\gamma_{1}$ the path opposite to $\\gamma$, for the following reason: For any $f$ continuous on $\\gamma_{1}^{*}=\\gamma^{*}$, we have\n\n$$\n\\int_{0}^{1} f\\left(\\gamma_{1}(t)\\right) \\gamma_{1}^{\\prime}(t) d t=-\\int_{0}^{1} f(\\gamma(1-t)) \\gamma^{\\prime}(1-t) d t=-\\int_{0}^{1} f(\\gamma(s)) \\gamma^{\\prime}(s) d s\n$$\n\nso that\n\n$$\n\\int_{\\gamma_{1}} f=-\\int_{\\gamma} f .\n$$', '']"
10.8 (inequality),"['From (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> we obtain the inequality\n\n$$\n\\left|\\int_{\\gamma} f(z) d z\\right| \\leq\\|f\\|_{\\infty} \\int_{\\alpha}^{\\beta}\\left|\\gamma^{\\prime}(t)\\right| d t\n$$\n\nwhere $\\|f\\|_{\\infty}$ is the maximum of $|f|$ on $\\gamma^{*}$ and the last integral in (5) <$$
\[
d(x, y)=f(x-y) \quad(x \in X, y \in X) .
\]$$> is (by definition) the length of $\\gamma$.', '']"
10.9 (a),"['If $a$ is a complex number and $r>0$, the path defined by\n\n$$\n\\gamma(t)=a+r e^{i t} \\quad(0 \\leq t \\leq 2 \\pi)\n$$\n\nis called the positively oriented circle with center at $a$ and radius $r$; we have\n\n$$\n\\int_{\\gamma} f(z) d z=i r \\int_{0}^{2 \\pi} f\\left(a+r e^{i \\theta}\\right) e^{i \\theta} d \\theta\n$$\n\nand the length of $\\gamma$ is $2 \\pi r$, as expected.', '']"
10.9 (b),"['If $a$ and $b$ are complex numbers, the path $\\gamma$ given by\n\n$$\n\\gamma(t)=a+(b-a) t \\quad(0 \\leq t \\leq 1)\n$$\n\nis the oriented interval $[a, b]$; its length is $|b-a|$, and\n\n$$\n\\int_{[a, b]} f(z) d z=(b-a) \\int_{0}^{1} f[a+(b-a) t] d t\n$$\n\nIf\n\n$$\n\\gamma_{1}(t)=\\frac{a(\\beta-t)+b(t-\\alpha)}{\\beta-\\alpha} \\quad(\\alpha \\leq t \\leq \\beta)\n$$\n\nwe obtain an equivalent path, which we still denote by $[a, b]$. The path opposite to $[a, b]$ is $[b, a]$.', '']"
10.9 (c),"['Let $\\{a, b, c\\}$ be an ordered triple of complex numbers, let\n\n$$\n\\Delta=\\Delta(a, b, c)\n$$\n\nbe the triangle with vertices at $a, b$, and $c$ ( $\\Delta$ is the smallest convex set which contains $a, b$, and $c$ ), and define\n\n$$\n\\int_{\\partial \\Delta} f=\\int_{[a, b]} f+\\int_{[b, c]} f+\\int_{[c, a]} f\n$$\n\nfor any $f$ continuous on the boundary of $\\Delta$. We may regard (6) <$$
\[
A(r)+A(s) \subset A(r+s) \quad(r \in D, s \in D) .
\]$$> as the definition of its left side. Or we may regard $\\partial \\Delta$ as a path obtained by joining $[a, b]$ to $[b, c]$ to $[c, a]$, as outlined in Definition 10.8 <> , in which case (6) <$$
\[
A(r)+A(s) \subset A(r+s) \quad(r \in D, s \in D) .
\]$$> is easily proved to be true.\n\nIf $\\{a, b, c\\}$ is permuted cyclically, we see from (6) <$$
\[
A(r)+A(s) \subset A(r+s) \quad(r \in D, s \in D) .
\]$$> that the left side of (6) <$$
\[
A(r)+A(s) \subset A(r+s) \quad(r \in D, s \in D) .
\]$$> is unaffected. If $\\{a, b, c\\}$ is replaced by $\\{a, c, b\\}$, then the left side of (6) <$$
\[
A(r)+A(s) \subset A(r+s) \quad(r \in D, s \in D) .
\]$$> changes sign.', '']"
18.12,"A subset $I$ of a commutative complex algebra $A$ is said to be an ideal if $(a) I$ is a subspace of $A$ (in the vector space sense) and $(b) x y \in I$ whenever $x \in A$ and $y \in I$. If $I \neq A, I$ is a proper ideal. Maximal ideals are proper ideals which are not contained in any larger proper ideals. Note that no proper ideal contains an invertible element.

If $B$ is another complex algebra, a mapping $\varphi$ of $A$ into $B$ is called a homomorphism if $\varphi$ is a linear mapping which also preserves multiplication: $\varphi(x) \varphi(y)=\varphi(x y)$ for all $x$ and $y \in A$. The kernel (or null space) of $\varphi$ is the set of all $x \in A$ such that $\varphi(x)=0$. It is trivial to verify that the kernel of a homomorphism is an ideal. For the converse, see Sec. 18.14."
17.14,Definition 17.14 <>  must be provided as it is necessary to understand the context of Theorem 17.16 <> .
11.1,"The differential operators $\partial$ and $\bar{\partial}$ are defined as

$$
\partial=\frac{1}{2}\left(\frac{\partial}{\partial x}-i \frac{\partial}{\partial y}\right), \quad \bar{\partial}=\frac{1}{2}\left(\frac{\partial}{\partial x}+i \frac{\partial}{\partial y}\right)
$$

for a complex function $f$ defined in a plane open set $\Omega$. The characterization of holomorphic functions is given by the condition that $(\bar{\partial} f)(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$>=0$."
10.38,"[""Suppose $\\gamma_{0}$ and $\\gamma_{1}$ are closed curves in a topological space $X$, both with parameter interval $I=[0,1]$. We say that $\\gamma_{0}$ and $\\gamma_{1}$ are $X$-homotopic if there is a continuous mapping $H$ of the unit square $I^{2}=I \\times I$ into $X$ such that\n\n$$\nH(s, 0)=\\gamma_{0}(s), \\quad H(s, 1)=\\gamma_{1}(s), \\quad H(0, t)=H(1, t)\n$$\n\nfor all $s \\in I$ and $t \\in I$. Put $\\gamma_{t}(s)=H(s, t)$. Then (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> defines a one-parameter family of closed curves $\\gamma_{t}$ in $X$, which connects $\\gamma_{0}$ and $\\gamma_{1}$. Intuitively, this means that $\\gamma_{0}$ can be continuously deformed to $\\gamma_{1}$, within $X$.\n\nIf $\\gamma_{0}$ is $X$-homotopic to a constant mapping $\\gamma_{1}$ (i.e., if $\\gamma_{1}^{*}$ consists of just one point), we say that $\\gamma_{0}$ is null-homotopic in $X$. If $X$ is connected and if every closed curve in $X$ is null-homotopic, $X$ is said to be simply connected.\n\nFor example, every convex region $\\Omega$ is simply connected. To see this, let $\\gamma_{0}$ be a closed curve in $\\Omega$, fix $z_{1} \\in \\Omega$, and define\n\n$$\nH(s, t)=(1-t) \\gamma_{0}(s)+t z_{1} \\quad(0 \\leq s \\leq 1, \\quad 0 \\leq t \\leq 1) .\n$$\n\nTheorem 10.40 <>  will show that condition (4) <$$ f(x)=\inf \{r: x \in A(r)\} \quad(x \in X)$$> of Cauchy's theorem 10.35 holds whenever $\\Gamma_{0}$ and $\\Gamma_{1}$ are $\\Omega$-homotopic closed paths. As a special case of this, note that condition (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> of Theorem 10.35 <<
\[
\mu=\max \left\{\left\|S_{1}\right\|, \ldots,\left\|S_{n}\right\|\right\} .
\]>,<
\[
x_{N}=S_{i_{N}} T \cdots S_{i_{1}} T x_{0}=S_{i_{N}} \cdots S_{i_{1}} T^{N} x_{0}
\]>,<
\[
S(\Gamma(y)) \subset \Gamma(y)
\]>,<
\[
S(M) \subset M
\]>,<
\[
\Gamma(y)=\{S y: S \in \Gamma\} .
\]>,<
\[
\Gamma=\{S \in \mathscr{B}(X): S T=T S\}
\]>,<$$
\[
T(S x)=S(T x)=S(\lambda x)=\lambda S x,
\]>,<
\[
M_{\lambda}=\{x \in X: T x=\lambda x\}
\]>,<
\[
\rho(T)=\lim _{N \rightarrow \infty}\left\|T^{N}\right\|^{1 / N} \geq \frac{1}{\mu}>0
\]>,< $\quad \frac{1}{2}\left\|x_{0}\right\| \leq\left\|x_{N}\right\| \leq \mu^{N}\left\|T^{N}\right\|\left\|x_{0}\right\| \quad(N=1,2,3, \ldots)$,>>  holds for every closed path $\\Gamma$ in $\\Omega$ if $\\Omega$ is simply connected.""]"
10.34,"['Suppose $\\gamma_{1}, \\ldots, \\gamma_{n}$ are paths in the plane, and put $K=$ $\\gamma_{1}^{*} \\cup \\cdots \\cup \\gamma_{n}^{*}$. Each $\\gamma_{i}$ induces a linear functional $\\tilde{\\gamma}_{i}$ on the vector space $C(K)$, by the formula\n\n$$\n\\tilde{\\gamma}_{i}(f)=\\int_{\\gamma_{i}} f(z) d z\n$$\n\nDefine\n\n$$\n\\tilde{\\Gamma}=\\tilde{\\gamma}_{1}+\\cdots+\\tilde{\\gamma}_{n} .\n$$\n\nExplicitly, $\\tilde{\\Gamma}(f)=\\tilde{\\gamma}_{1}(f)+\\cdots+\\tilde{\\gamma}_{n}(f)$ for all $f \\in C(K)$. The relation (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$> suggests that we introduce a ""formal sum""\n\n$$\n\\Gamma=\\gamma_{1} \\dot{+} \\cdots \\dot{+} \\gamma_{n}\n$$\n\nand define\n\n$$\n\\int_{\\Gamma} f(z) d z=\\tilde{\\Gamma}(f)\n$$\n\nThen (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$> is merely an abbreviation for the statement\n\n$$\n\\int_{\\Gamma} f(z) d z=\\sum_{i=1}^{n} \\int_{\\gamma_{i}} f(z) d z \\quad(f \\in C(K)) .\n$$\n\nNote that (5) <$$
\[
d(x, y)=f(x-y) \quad(x \in X, y \in X) .
\]$$> serves as the definition of its left side.\n\nThe objects $\\Gamma$ so defined are called chains. If each $\\gamma_{j}$ in (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$> is a closed path, then $\\Gamma$ is called a cycle. If each $\\gamma_{j}$ in (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$> is a path in some open set $\\Omega$, we say that $\\Gamma$ is a chain in $\\Omega$.\n\nIf (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$> holds, we define\n\n$$\n\\Gamma^{*}=\\gamma_{1}^{*} \\cup \\cdots \\cup \\gamma_{n}^{*}\n$$\n\nIf $\\Gamma$ is a cycle and $\\alpha \\notin \\Gamma^{*}$, we define the index of $\\alpha$ with respect to $\\Gamma$ by\n\n$$\n\\operatorname{Ind}_{\\Gamma}(\\alpha)=\\frac{1}{2 \\pi i} \\int_{\\Gamma} \\frac{d z}{z-\\alpha}\n$$\n\njust as in Theorem 10.10 <> . Obviously, (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$> implies\n\n$$\n\\operatorname{Ind}_{\\Gamma}(\\alpha)=\\sum_{i=1}^{n} \\operatorname{Ind}_{\\gamma_{i}}(\\alpha)\n$$\n\nIf each $\\gamma_{i}$ in (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$> is replaced by its opposite path (see Sec. 10.8), the resulting chain will be denoted by $-\\Gamma$. Then\n\n$$\n\\int_{-\\Gamma} f(z) d z=-\\int_{\\Gamma} f(z) d z \\quad\\left(f \\in C\\left(\\Gamma^{*}\\right)\\right)\n$$\n\nIn particular, $\\operatorname{Ind}_{-\\Gamma}(\\alpha)=-\\operatorname{Ind}_{\\Gamma}(\\alpha)$ if $\\Gamma$ is a cycle and $\\alpha \\notin \\Gamma^{*}$.\n\nChains can be added and subtracted in the obvious way, by adding or subtracting the corresponding functionals: The statement $\\Gamma=\\Gamma_{1}+\\Gamma_{2}$ means\n\n$$\n\\int_{\\Gamma} f(z) d z=\\int_{\\Gamma_{1}} f(z) d z+\\int_{\\Gamma_{2}} f(z) d z\n$$\n\nfor every $f \\in C\\left(\\Gamma_{1}^{*} \\cup \\Gamma_{2}^{*}\\right)$.\n\nFinally, note that a chain may be represented as a sum of paths in many ways. To say that\n\n$$\n\\gamma_{1} \\dot{+} \\cdots \\dot{+} \\gamma_{n}=\\delta_{1} \\dot{+} \\cdots \\dot{+} \\delta_{k}\n$$\n\nmeans simply that\n\n$$\n\\sum_{i} \\int_{\\gamma_{i}} f(z) d z=\\sum_{j} \\int_{\\delta_{j}} f(z) d z\n$$\n\nfor every $f$ that is continuous on $\\gamma_{1}^{*} \\cup \\cdots \\cup \\gamma_{n}^{*} \\cup \\delta_{1}^{*} \\cup \\cdots \\cup \\delta_{k}^{*}$. In particular, a cycle may very well be represented as a sum of paths that are not closed.']"
