Type,Formula#,Type#,latex
1.13,6,Definition,$\left(\sup _{n} f_{n}\right)(x)=\sup _{n}\left(f_{n}(x)\right)$
1.13,7,Definition,
1.13,5,Definition,$\limsup _{n \rightarrow \infty} a_{n}=\lim _{n \rightarrow \infty} \inf a_{n}=\lim _{n \rightarrow \infty} a_{n}$.
1.13,4,Definition,$\liminf _{n \rightarrow \infty} a_{n}=-\limsup _{n \rightarrow \infty}\left(-a_{n}\right)$
1.13,1,Definition,"$b_{k}=\sup \left\{a_{k}, a_{k+1}, a_{k+2}, \ldots\right\} \quad(k=1,2,3, \ldots)$"
1.13,3,Definition,$\beta=\limsup _{n \rightarrow \infty} a_{n}$.
1.13,2,Definition,"$\beta=\inf \left\{b_{1}, b_{2}, b_{3}, \ldots\right\}$"
1.13,8,Definition,"$f(x)=\lim _{n \rightarrow \infty} f_{n}(x)$,"
1.17,2,Theorem,$t-\delta_{n}<\varphi_{n}(t) \leq t \quad$ if $0 \leq t \leq n$
1.17,3,Theorem,$s_{n}=\varphi_{n} \circ f$
1.17,1,Theorem,$\varphi_{n}(t)=\left\{\begin{array}{ll}k_{n}(t) \delta_{n} & \text { if } 0 \leq t<n \\ n & \text { if } n \leq t \leq \infty\end{array}\right.$
1.18,1,Definition,$\mu\left(\bigcup_{i=1}^{\infty} A_{i}\right)=\sum_{i=1}^{\infty} \mu\left(A_{i}\right)$
1.23,2,Definition,$\int_{E} s d \mu=\sum_{i=1}^{n} \alpha_{i} \mu\left(A_{i} \cap E\right)$.
1.23,3,Definition,$\int_{E} f d \mu=\sup \int_{E} s d \mu$
1.23,1,Definition,$s=\sum_{i=1}^{n} \alpha_{i} \chi_{A_{i}}$
1.24,4,Theorem,$h^{+}+f^{-}+g^{-}=f^{+}+g^{+}+h^{-}$.
1.24,2,Theorem,$\int_{X}(f+g) d \mu=\int_{X} f d \mu+\int_{X} g d \mu$
1.24,3,Theorem,"$\int_{X}(\alpha f) d \mu=\alpha \int_{X} f d \mu$,"
1.25,2,Proposition,$\int_{X}(s+t) d \mu=\int_{X} s d \mu+\int_{X} t d \mu$.
1.25,1,Proposition,$\varphi(E)=\int_{E} s d \mu$
1.25,6,Theorem,$\alpha \geq \int_{x} s d \mu$
1.25,7,Theorem,$\alpha \geq \int_{X} f d \mu$
1.25,5,Theorem,$\alpha \geq c \int_{X} s d \mu$
1.26,3,Theorem,"$E_{n}=\left\{x: f_{n}(x) \geq c s(x)\right\} \quad(n=1,2,3, \ldots)$"
1.26,2,Theorem,$\alpha \leq \int_{X} f d \mu$
1.26,1,Theorem,$\int_{X} f_{n} d \mu \rightarrow \alpha \quad$ as $n \rightarrow \infty$.
1.26,4,Theorem,"$\int_{X} f_{n} d \mu \geq \int_{E_{n}} f_{n} d \mu \geq c \int_{E_{n}} s d \mu \quad(n=1,2,3, \ldots)$"
1.27,4,Theorem,$\int_{X} g_{N} d \mu=\sum_{n=1}^{N} \int_{X} f_{n} d \mu$.
1.27,1,Theorem,$f(x)=\sum_{n=1}^{\infty} f_{n}(x) \quad(x \in X)$
1.27,3,Theorem,$\int_{X}\left(f_{1}+f_{2}\right) d \mu=\int_{X} f_{1} d \mu+\int_{X} f_{2} d \mu$.
1.28,1,Lemma,$\int_{X}\left(\underset{n \rightarrow \infty}{\liminf f_{n}}\right) d \mu \leq \liminf _{n \rightarrow \infty} \int_{X} f_{n} d \mu$.
1.28,2,Lemma,"$g_{k}(x)=\inf _{i \geq k} f_{i}(x) \quad(k=1,2,3, \ldots ; x \in X)$"
1.28,3,Lemma,"$\int_{X} g_{k} d \mu \leq \int_{X} f_{k} d \mu \quad(k=1,2,3, \ldots)$"
1.29,2,Theorem,$\int_{X} g d \varphi=\int_{X} g f d \mu$
1.29,1,Theorem,$\varphi(E)=\int_{E} f d \mu \quad(E \in \mathfrak{M})$
1.29,5,Theorem,$\varphi(E)=\sum_{j=1}^{\infty} \varphi\left(E_{j}\right)$
1.29,4,Theorem,"$\varphi(E)=\int_{X} \chi_{E} f d \mu, \quad \varphi\left(E_{j}\right)=\int_{X} \chi_{E_{j}} f d \mu$."
1.29,6,Theorem,$d \varphi=f d \mu$.
1.31,1,Definition,$\int_{E} f d \mu=\int_{E} u^{+} d \mu-\int_{E} u^{-} d \mu+i \int_{E} v^{+} d \mu-i \int_{E} v^{-} d \mu$
1.31,2,Definition,$\int_{E} f d \mu=\int_{E} f^{+} d \mu-\int_{E} f^{-} d \mu$
1.32,1,Theorem,$\int_{X}(\alpha f+\beta g) d \mu=\alpha \int_{X} f d \mu+\beta \int_{X} g d \mu$.
1.34,4,Theorem,$\lim _{n \rightarrow \infty} \int_{X} f_{n} d \mu=\int_{X} f d \mu$.
1.34,5,Theorem,$\limsup _{n \rightarrow \infty} \int_{X}\left|f_{n}-f\right| d \mu \leq 0$
1.34,2,Theorem,"$\left|f_{n}(x)\right| \leq g(x) \quad(n=1,2,3, \ldots ; x \in X)$"
1.34,3,Theorem,$\lim _{n \rightarrow \infty} \int_{X}\left|f_{n}-f\right| d \mu=0$
1.34,1,Theorem,$f(x)=\lim _{n \rightarrow \infty} f_{n}(x)$
1.35,1,Definition,"$\mu(\{x: f(x) \neq g(x)\})=0$,"
1.35,2,Definition,$\int_{E} f d \mu=\int_{E} g d \mu$.
1.38,4,Theorem,$\int_{s} \varphi d \mu<\infty$.
1.38,2,Theorem,$f(x)=\sum_{n=1}^{\infty} f_{n}(x)$
1.38,3,Theorem,$\int_{X} f d \mu=\sum_{n=1}^{\infty} \int_{X} f_{n} d \mu$.
1.38,1,Theorem,$\sum_{n=1}^{\infty} \int_{X}\left|f_{n}\right| d \mu<\infty$
2.1,4,Definition,$\Lambda f=\int_{I} f d \mu \quad(f \in C)$.
2.1,1,Definition,"$\alpha(x+y)=\alpha x+\alpha y,(\alpha+\beta) x=\alpha x+\beta x$"
2.1,2,Definition,$\Lambda(\alpha x+\beta y)=\alpha \Lambda x+\beta \Lambda y$
2.1,3,Definition,$\Lambda f=\int_{0}^{1} f(x) d x \quad(f \in C)$
2.1,3,Theorem,$K \prec f \prec V$
2.1,2,Theorem,$f \prec V$
2.1,1,Theorem,$K \prec f$
2.12,5,Lemma,"$f=\sup _{r} f_{r}, \quad g=\inf _{s} g_{s}$."
2.12,1,Lemma,$K \prec f \prec V$.
2.12,2,Lemma,$K \subset V_{1} \subset \bar{V}_{1} \subset V_{0} \subset \bar{V}_{0} \subset V$.
2.12,3,Lemma,$s>r$ implies $\bar{V}_{s} \subset V_{r}$.
2.13,15,Theorem,"$B_{n}=\left(A_{n} \cap K\right)-\left(B_{1} \cup \cdots \cup B_{n-1}\right) \quad(n=2,3,4, \ldots)$"
2.13,14,Theorem,$\mu(A-B) \leq \epsilon+\mu\left(K_{1}-V_{2}\right)+\epsilon$
2.13,16,Theorem,$\Lambda f \leq \int_{x} f d \mu$
2.13,17,Theorem,$y_{0}<a<y_{1}<\cdots<y_{n}=b$.
2.13,13,Theorem,$\mu(E) \leq \sum_{i=1}^{N} \mu\left(E_{i}\right)+\epsilon$
2.13,12,Theorem,$\mu(E) \geq \mu\left(K_{n}\right)=\sum_{i=1}^{n} \mu\left(H_{i}\right)>\sum_{i=1}^{n} \mu\left(E_{i}\right)-\epsilon$
2.13,10,Theorem,$\mu\left(K_{1} \cup K_{2}\right)=\mu\left(K_{1}\right)+\mu\left(K_{2}\right)$
2.13,11,Theorem,"$\mu\left(H_{i}\right)>\mu\left(E_{i}\right)-2^{-i} \epsilon \quad(i=1,2,3, \ldots)$"
2.13,2,Theorem,
2.13,3,Theorem,$h_{1}+h_{2}+\cdots+h_{n}=1-\left(1-g_{1}\right)\left(1-g_{2}\right) \cdots\left(1-g_{n}\right)$
2.13,1,Theorem,$h_{1}(x)+\cdots+h_{n}(x)=1 \quad(x \in K)$.
2.13,4,Theorem,$\mu\left(\bigcup_{i=1}^{\infty} E_{i}\right) \leq \sum_{i=1}^{\infty} \mu\left(E_{i}\right)$.
2.13,5,Theorem,$\mu\left(V_{1} \cup V_{2}\right) \leq \mu\left(V_{1}\right)+\mu\left(V_{2}\right)$
2.13,7,Theorem,$\mu(K)=\inf \{\Lambda f: K \prec f\}$.
2.13,6,Theorem,$\Lambda g=\Lambda\left(h_{1} g\right)+\Lambda\left(h_{2} g\right) \leq \mu\left(V_{1}\right)+\mu\left(V_{2}\right)$
2.13,9,Theorem,$\mu(E)=\sum_{i=1}^{\infty} \mu\left(E_{i}\right)$
2.13,19,Theorem,"$\mu\left(V_{i}\right)<\mu\left(E_{i}\right)+\frac{\epsilon}{n} \quad(i=1, \ldots, n)$"
2.13,18,Theorem,"$E_{i}=\left\{x: y_{i-1}<f(x) \leq y_{i}\right\} \cap K \quad(i=1, \ldots, n)$"
2.17,1,Theorem,"$\mu\left(V_{n}-\left(K_{n} \cap E\right)\right)<\frac{\epsilon}{2^{n+1}} \quad(n=1,2,3, \ldots)$"
2.17,2,Theorem,$\lambda(V)=\lim _{n \rightarrow \infty} \int_{X} g_{n} d \lambda=\lim _{n \rightarrow \infty} \int_{X} g_{n} d \mu=\mu(V)$.
2.17,3,Theorem,$E+x=\{y+x: y \in E\}$.
2.17,6,Theorem,"$Q(a ; \delta)=\left\{x: \alpha_{i} \leq \xi_{i}<\alpha_{i}+\delta, 1 \leq i \leq k\right\}$"
2.17,4,Theorem,"$W=\left\{x: \alpha_{i}<\xi_{i}<\beta_{i}, 1 \leq i \leq k\right\}$"
2.17,5,Theorem,$\operatorname{vol}(W)=\prod_{i=1}^{k}\left(\beta_{i}-\alpha_{i}\right)$
2.22,4,Theorem,$S_{1} \cup\left(S_{2}-e_{2}\right)=Q$
2.22,1,Theorem,$T e_{j}=\sum_{i=1}^{k} \alpha_{i j} e_{i} \quad(1 \leq j \leq k)$
2.22,2,Theorem,$\Delta(T)=|\operatorname{det} T|$.
2.22,3,Theorem,"$\xi_{1} \leq \xi_{2}<\xi_{1}+1, \quad 0 \leq \xi_{i}<1 \quad$ if $\quad i \neq 2$"
2.24,2,Theorem,$\sup _{x \in X}|g(x)| \leq \sup _{x \in X}|f(x)|$.
2.24,3,Theorem,$f(x)=\sum_{n=1}^{\infty} t_{n}(x) \quad(x \in X)$.
2.24,1,Theorem,$\mu(\{x: f(x) \neq g(x)\})<\epsilon$.
2.24,5,Theorem,$f(x)=\lim _{n \rightarrow \infty} g_{n}(x) \quad$ a.e.
2.25,1,Theorem,$\int_{X}(v-u) d \mu<\epsilon$.
2.25,3,Theorem,$\int_{X} f d \mu=\sum_{i=1}^{\infty} c_{i} \mu\left(E_{i}\right)$
2.25,2,Theorem,$f(x)=\sum_{i=1}^{\infty} c_{i} \chi_{E_{i}}(x) \quad(x \in X)$
2.25,6,Theorem,$\sum_{N+1}^{\infty} c_{i} \mu\left(E_{i}\right)<\frac{\epsilon}{2}$
2.25,5,Theorem,"$v=\sum_{i=1}^{\infty} c_{i} \chi_{V_{i}}, \quad u=\sum_{i=1}^{N} c_{i} \chi_{K_{i}}$"
2.25,4,Theorem,"$c_{i} \mu\left(V_{i}-K_{i}\right)<2^{-i-1} \epsilon \quad(i=1,2,3, \ldots)$"
3.1,1,Definition,$\varphi((1-\lambda) x+\lambda y) \leq(1-\lambda) \varphi(x)+\lambda \varphi(y)$
3.1,7,Theorem,$\left\|\Lambda_{n}\right\| \rightarrow \infty \quad$ as $n \rightarrow \infty$
3.1,6,Theorem,$\left\|\Lambda_{n}\right\| \leq \frac{1}{2 \pi} \int_{-\pi}^{\pi}\left|D_{n}(t)\right| d t=\left\|D_{n}\right\|_{1}$.
3.1,4,Theorem,$s^{*}(f ; x)=\sup _{n}\left|s_{n}(f ; x)\right|$
3.1,5,Theorem,"$\Lambda_{n} f=s_{n}(f ; 0) \quad(f \in C(T) ; n=1,2,3, \ldots)$"
3.1,1,Theorem,$\|\Lambda x\| \geq \delta\|x\| \quad(x \in X)$
3.1,2,Theorem,"where
\[
D_{n}(t)=\sum_{k=-n}^{n} e^{i k t}
\]"
3.1,3,Theorem,$\lim _{n \rightarrow \infty} s_{n}(f ; x)=f(x)$
3.1,8,Theorem,$\left\|D_{n}\right\|_{1} \rightarrow \infty \quad$ as $n \rightarrow \infty$
3.1,1,Remark,$\|\alpha f\|_{p}=|\alpha|\|f\|_{p}$.
3.1,2,Remark,$\|f-h\|_{p} \leq\|f-g\|_{p}+\|g-h\|_{p}$.
3.11,6,Theorem,$\int_{X}\left|f-f_{m}\right|^{p} d \mu \leq \liminf _{i \rightarrow \infty} \int_{X}\left|f_{n_{i}}-f_{m}\right|^{p} d \mu \leq \epsilon^{p}$.
3.11,4,Theorem,"$f_{n_{1}}+\sum_{i=1}^{k-1}\left(f_{n_{i+1}}-f_{n_{i}}\right)=f_{n_{k}}$,"
3.11,5,Theorem,$f(x)=\lim _{i \rightarrow \infty} f_{n_{i}}(x) \quad$ a.e.
3.11,1,Theorem,"$\left\|f_{n_{i+1}}-f_{n_{i}}\right\|_{p}<2^{-i} \quad(i=1,2,3, \ldots)$"
3.11,2,Theorem,"$g_{k}=\sum_{i=1}^{k}\left|f_{n_{i+1}}-f_{n_{i}}\right|, \quad g=\sum_{i=1}^{\infty}\left|f_{n_{i+1}}-f_{n_{i}}\right|$"
3.11,3,Theorem,$f_{n_{1}}(x)+\sum_{i=1}^{\infty}\left(f_{n_{i+1}}(x)-f_{n_{i}}(x)\right)$
3.13,1,Theorem,$\mu(\{x: s(x) \neq 0\})<\infty$.
3.14,1,Theorem,$\|g-s\|_{p} \leq 2 \epsilon^{1 / p}\|s\|_{\infty}$.
3.15,1,Remark,$\|f\|_{\infty}=\sup _{x \in R^{k}}|f(x)|$.
3.15,2,Remark,$\int_{-\infty}^{\infty}|f(t)-g(t)| d t$
3.17,1,Theorem,$\|f\|=\sup _{x \in X}|f(x)|$.
3.3,8,Theorem,$y_{1}^{\alpha_{1}} y_{2}^{\alpha_{2}} \cdots y_{n}^{\alpha_{n}} \leq \alpha_{1} y_{1}+\alpha_{2} y_{2}+\cdots+\alpha_{n} y_{n}$
3.3,5,Theorem,$\exp \left\{\frac{1}{n}\left(x_{1}+\cdots+x_{n}\right)\right\} \leq \frac{1}{n}\left(e^{x_{1}}+\cdots+e^{x_{n}}\right)$
3.3,4,Theorem,$\exp \left\{\int_{\Omega} f d \mu\right\} \leq \int_{\Omega} e^{f} d \mu$.
3.3,6,Theorem,$\left(y_{1} y_{2} \cdots y_{n}\right)^{1 / n} \leq \frac{1}{n}\left(y_{1}+y_{2}+\cdots+y_{n}\right)$.
3.3,7,Theorem,$\exp \left\{\int_{\Omega} \log g d \mu\right\} \leq \int_{\Omega} g d \mu$
3.3,3,Theorem,$\varphi(f(x))-\varphi(t)-\beta(f(x)-t) \geq 0$
3.3,2,Theorem,$\varphi(s) \geq \varphi(t)+\beta(s-t) \quad(a<s<b)$
3.3,1,Theorem,$\varphi\left(\int_{\Omega} f d \mu\right) \leq \int_{\Omega}(\varphi \circ f) d \mu$.
3.4,1,Definition,"$\frac{1}{p}+\frac{1}{q}=1$,"
3.5,8,Theorem,$(f+g)^{p}=f \cdot(f+g)^{p-1}+g \cdot(f+g)^{p-1}$
3.5,9,Theorem,$\int f \cdot(f+g)^{p-1} \leq\left\{\int f^{p}\right\}^{1 / p}\left\{\int(f+g)^{(p-1) q}\right\}^{1 / q}$.
3.5,7,Theorem,$\int_{X} F G d \mu \leq p^{-1}+q^{-1}=1$
3.5,6,Theorem,$F(x) G(x) \leq p^{-1} F(x)^{p}+q^{-1} G(x)^{q}$
3.5,4,Theorem,$\int_{X} F^{p} d \mu=\int_{X} G^{q} d \mu=1$
3.5,5,Theorem,$e^{s / p+t / q} \leq p^{-1} e^{s}+q^{-1} e^{t}$
3.5,1,Theorem,$\int_{X} f g d \mu \leq\left\{\int_{X} f^{p} d \mu\right\}^{1 / p}\left\{\int_{X} g^{q} d \mu\right\}^{1 / q}$
3.5,2,Theorem,$\left\{\int_{X}(f+g)^{p} d \mu\right\}^{1 / p} \leq\left\{\int_{X} f^{p} d \mu\right\}^{1 / p}+\left\{\int_{X} g^{p} d \mu\right\}^{1 / p}$.
3.5,3,Theorem,"$F=\frac{f}{A}, \quad G=\frac{g}{B}$."
3.6,2,Definition,$\|f\|_{p}<\infty$
3.6,1,Definition,$\|f\|_{p}=\left\{\int_{X}|f|^{p} d \mu\right\}^{1 / p}$
3.7,2,Definition,"$g^{-1}((\beta, \infty])=\bigcup_{n=1}^{\infty} g^{-1}\left(\left(\beta+\frac{1}{n}, \infty\right]\right)$"
3.7,1,Definition,"$\mu\left(g^{-1}((\alpha, \infty])\right)=0$"
3.8,2,Theorem,$|f(x) g(x)| \leq\|f\|_{\infty}|g(x)|$
3.8,1,Theorem,$\|f g\|_{1} \leq\|f\|_{p}\|g\|_{q}$.
3.9,1,Theorem,$\|f+g\|_{p} \leq\|f\|_{p}+\|g\|_{p}$.
4.1,1,Theorem,$\|x+y\|^{2}+\|x-y\|^{2}=2\|x\|^{2}+2\|y\|^{2} \quad(x$ and $y \in H)$.
4.1,3,Theorem,$\|x-y\|^{2} \leq 2\|x\|^{2}+2\|y\|^{2}-4 \delta^{2} \quad(x$ and $y \in E)$.
4.1,2,Theorem,$\frac{1}{4}\|x-y\|^{2}=\frac{1}{2}\|x\|^{2}+\frac{1}{2}\|y\|^{2}-\left\|\frac{x+y}{2}\right\|^{2}$.
4.1,2,Definition,$A-2 B r+C r^{2} \geq 0$
4.1,1,Definition,"$(x-r \alpha y, x-r \alpha y)=(x, x)-r \alpha(y, x)-r \bar{\alpha}(x, y)+r^{2}(y, y)$."
4.12,4,Theorem,"$L x=(L x)(z, z)=(L z)(x, z)$"
4.12,1,Theorem,"$L x=(x, y) \quad(x \in H)$."
4.12,2,Theorem,$M=\{x: L x=0\}$.
4.12,3,Theorem,$u=(L x) z-(L z) x$
4.13,1,Definition,"$\left(u_{\alpha}, u_{\beta}\right)=\left\{\begin{array}{ll}1 & \text { if } \alpha=\beta \\ 0 & \text { if } \alpha \neq \beta\end{array}\right.$"
4.13,2,Definition,"$\hat{x}(\alpha)=\left(x, u_{\alpha}\right) \quad(\alpha \in A)$."
4.14,5,Theorem,$\sum_{\alpha \in F}|\hat{x}(\alpha)|^{2} \leq\|x\|^{2}$
4.14,1,Theorem,$\sum_{\alpha \in A} \varphi(\alpha)$
4.14,4,Theorem,$\left\|x-s_{F}(x)\right\|<\|x-s\|$
4.14,6,Theorem,$\|x-s\|^{2}=\left\|\left(x-s_{F}\right)+\left(s_{F}-s\right)\right\|^{2}=\left\|x-s_{F}\right\|^{2}+\left\|s_{F}-s\right\|^{2}$
4.14,3,Theorem,"$(\varphi, \psi)=\sum_{\alpha \in A} \varphi(\alpha) \overline{\psi(\alpha)}$"
4.14,2,Theorem,$\sum_{\alpha \in A}|\varphi(\alpha)|^{2}<\infty$.
4.14,3,Theorem,$s_{F}(x)=\sum_{\alpha \in F} \hat{x}(\alpha) u_{\alpha}$
4.14,2,Theorem,$\|y\|^{2}=\sum_{\alpha \in F}|\varphi(\alpha)|^{2}$.
4.14,1,Theorem,$y=\sum_{\alpha \in F} \varphi(\alpha) u_{\alpha}$
4.17,1,Theorem,$\sum_{\alpha \in A}|\hat{x}(\alpha)|^{2} \leq\|x\|^{2}$
4.23,8,Definition,"$\left(u_{n}, u_{m}\right)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} e^{i(n-m) t} d t=\left\{\begin{array}{ll}1 & \text { if } n=m \\ 0 & \text { if } n \neq m\end{array}\right.$"
4.23,3,Definition,"$\|f\|_{\infty}=\sup _{t}|f(t)|$,"
4.23,2,Definition,$\|f\|_{p}=\left\{\frac{1}{2 \pi} \int_{-\pi}^{\pi}|f(t)|^{p} d t\right\}^{1 / p}$
4.23,1,Definition,$f(t)=F\left(e^{i t}\right)$
4.23,5,Definition,$f(t)=\sum_{n=-N}^{N} c_{n} e^{i n t}$
4.23,4,Definition,$f(t)=a_{0}+\sum_{n=1}^{N}\left(a_{n} \cos n t+b_{n} \sin n t\right) \quad\left(t \in R^{1}\right)$
4.23,6,Definition,$u_{n}(t)=e^{i n t} \quad(n \in Z)$
4.23,7,Definition,$Q_{k}(t) \leq Q_{k}(\delta) \leq \frac{\pi(k+1)}{2}\left(\frac{1+\cos \delta}{2}\right)^{k} \quad(0<\delta \leq|t| \leq \pi)$
4.25,8,Theorem,$\left\|f-s_{N}\right\|_{2}^{2}=\sum_{|n|>N}|\hat{f}(n)|^{2}$.
4.25,1,Theorem,$\hat{f}(n)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} f(t) e^{-i n t} d t \quad(n \in Z)$
4.25,3,Theorem,"$s_{N}(t)=\sum_{-N}^{N} \hat{f}(n) e^{i n t} \quad(N=0,1,2, \ldots)$"
4.25,2,Theorem,$\sum_{-\infty}^{\infty} \hat{f}(n) e^{i n t}$
4.25,6,Theorem,$\sum_{n=-\infty}^{\infty} \hat{f}(n) \overline{\hat{g}(n)}=\frac{1}{2 \pi} \int_{-\pi}^{\pi} f(t) \overline{g(t)} d t$
4.25,7,Theorem,$\lim _{N \rightarrow \infty}\left\|f-s_{N}\right\|_{2}=0$
4.25,5,Theorem,$c_{n}=\frac{1}{2 \pi} \int_{-\pi}^{\pi} f(t) e^{-i n t} d t \quad(n \in Z)$
4.25,4,Theorem,$\sum_{n=-\infty}^{\infty}\left|c_{n}\right|^{2}<\infty$
4.4,1,Definition,"$\|x-z\| \leq\|x-y\|+\|y-z\| \quad(x, y, z \in H)$."
5.13,3,Theorem,$\|\varphi\|_{\infty}=\sup \{|\varphi(n)|: n \in Z\}$.
5.13,2,Theorem,$|\hat{f}(n)|=\left|\frac{1}{2 \pi} \int_{-\pi}^{\pi}\{f(t)-P(t)\} e^{-i n t} d t\right| \leq\|f-P\|_{1}<2 \epsilon$
5.13,1,Theorem,$\hat{f}(n)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} f(t) e^{-i n t} d t \quad(n \in Z)$
5.15,2,Theorem,$\|\hat{f}\|_{\infty} \geq \delta\|f\|_{1}$
5.15,3,Theorem,$\left\|\hat{D}_{n}\right\|_{\infty} \geq \delta\left\|D_{n}\right\|_{1}$
5.17,1,Proposition,$f(x)=u(x)-i u(i x) \quad(x \in V)$
5.17,2,Proposition,$z=\operatorname{Re} z-i \operatorname{Re}(i z)$
5.17,3,Proposition,$\operatorname{Re}(i f(x))=\operatorname{Re} f(i x)=u(i x)$
5.17,4,Proposition,$f(i x)=u(i x)-i u(-x)=u(i x)+i u(x)=i f(x)$
5.17,5,Proposition,"$|f(x)|=f(\alpha x)=u(\alpha x) \leq\|u\| \cdot\|\alpha x\|=\|u\| \cdot\|x\|$,"
5.18,1,Theorem,"$|f(x)+\lambda \alpha| \leq\left\|x+\lambda x_{0}\right\| \quad(x \in M, \lambda$ real $)$."
5.18,2,Theorem,$|f(x)-\alpha| \leq\left\|x-x_{0}\right\| \quad(x \in M)$
5.18,3,Theorem,$A_{x}=f(x)-\left\|x-x_{0}\right\| \quad$ and $\quad B_{x}=f(x)+\left\|x-x_{0}\right\|$.
5.18,6,Theorem,$F(x)=U(x)-i U(i x) \quad(x \in X)$
5.18,4,Theorem,$A_{x} \leq B_{y}$
5.18,5,Theorem,"$f(x)-f(y)=f(x-y) \leq\|x-y\| \leq\left\|x-x_{0}\right\|+\left\|y-x_{0}\right\|$,"
5.2,1,Definition,"$\|\Lambda\|=\sup \{\|\Lambda x\|: x \in X,\|x\| \leq 1\}$."
5.2,3,Definition,$\|\Lambda x\| \leq\|\Lambda\|\|x\|$
5.2,2,Definition,$\|\Lambda(\alpha x)\|=\|\alpha \Lambda x\|=|\alpha|\|\Lambda x\|$.
5.2,4,Definition,$\{x \in X:\|x\| \leq 1\}$
5.21,1,Remark,$\|f\|_{K}=\|f\|_{H} \quad(f \in A)$.
5.21,2,Remark,$\|f\|_{E}=\sup \{|f(x)|: x \in E\}$
5.21,3,Remark,$|f(x)| \leq\|f\|_{H}$.
5.21,7,Remark,$\Lambda f=\frac{1}{2} \Lambda(1+g)=\frac{1}{2}(1+\alpha) \geq 0$
5.21,6,Remark,$(\beta+r)^{2} \leq|\alpha+i(\beta+r)|^{2}=|\Lambda(g+i r)|^{2} \leq 1+r^{2}$
5.21,4,Remark,$\Lambda f=f(x) \quad(f \in M)$
5.21,5,Remark,"$\Lambda 1=1, \quad\|\Lambda\|=1$"
5.21,8,Remark,$f(z)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} f\left(e^{i t}\right) P_{r}(\theta-t) d t \quad(f \in A)$.
5.21,9,Remark,$f(x)=\int_{H} f d \mu_{x} \quad(f \in A)$
5.25,2,Theorem,$f(z)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} \frac{1-r^{2}}{1-2 r \cos (\theta-t)+r^{2}} f\left(e^{i t}\right) d t \quad\left(z=r e^{i \theta}\right)$
5.25,1,Theorem,$\sup _{z \in U}|f(z)|=\sup _{z \in T}|f(z)|$
5.6,3,Theorem,"$\bar{S}\left(x_{n}, r_{n}\right) \subset V_{n} \cap S\left(x_{n-1}, r_{n-1}\right) \quad$ and $\quad 0<r_{n}<\frac{1}{n}$"
5.6,2,Theorem,"$\bar{S}\left(x_{1}, r_{1}\right) \subset W \cap V_{1} \quad$ and $\quad 0<r_{1}<1$"
5.6,1,Theorem,"$S(x, r)=\{y \in X: \rho(x, y)<r\}$"
5.8,2,Theorem,$\sup _{\alpha \in A}\left\|\Lambda_{\alpha} x\right\|=\infty$
5.8,3,Theorem,$\varphi(x)=\sup _{\alpha \in A}\left\|\Lambda_{\alpha} x\right\| \quad(x \in X)$
5.8,1,Theorem,$\left\|\Lambda_{\alpha}\right\| \leq M$
5.8,4,Theorem,"$V_{n}=\{x: \varphi(x)>n\} \quad(n=1,2,3, \ldots)$"
5.8,5,Theorem,$\left\|\Lambda_{\alpha}\left(x_{0}+x\right)\right\| \leq N$
5.8,6,Theorem,$\left\|\Lambda_{\alpha} x\right\| \leq\left\|\Lambda_{\alpha}\left(x_{0}+x\right)\right\|+\left\|\Lambda_{\alpha} x_{0}\right\| \leq 2 N$
5.9,2,Theorem,"$\Lambda x_{i}^{\prime} \rightarrow y_{0}, \quad \Lambda x_{i}^{\prime \prime} \rightarrow y_{0}+y \quad(i \rightarrow \infty)$"
