Type,Formula#,Type#,latex
9.6,2,Theorem,$\left|\hat{f}\left(t_{n}\right)-\hat{f}(t)\right| \leq \int_{-\infty}^{\infty}|f(x)|\left|e^{-i t_{n} x}-e^{-i t x}\right| d m(x)$
9.6,3,Theorem,$h_{\lambda}(x)=\sqrt{\frac{2}{\pi}} \frac{\lambda}{\lambda^{2}+x^{2}}$
9.6,4,Theorem,$2 \hat{f}(t)=\int_{-\infty}^{\infty}\left\{f(x)-f\left(x-\frac{\pi}{t}\right)\right\} e^{-i t x} d m(x)$
9.6,5,Theorem,"$2|\hat{f}(t)| \leq\left\|f-f_{\pi / t}\right\|_{1}$,"
9.6,1,,$\|\hat{f}\|_{\infty} \leq\|f\|_{1}$.
9.9,1,Theorem,$\lim _{\lambda \rightarrow 0}\left(g * h_{\lambda}\right)(x)=g(x)$
10.1,2,Definition,$D^{\prime}(a ; r)=\{z: 0<|z-a|<r\}$
10.1,3,Theorem,$\varphi(t)=\exp \left\{\int_{\alpha}^{t} \frac{\gamma^{\prime}(s)}{\gamma(s)-z} d s\right\} \quad(\alpha \leq t \leq \beta)$.
10.1,2,Theorem,$\operatorname{Ind}_{\gamma}(z)=\frac{1}{2 \pi i} \int_{\alpha}^{\beta} \frac{\gamma^{\prime}(s)}{\gamma(s)-z} d s$.
10.1,3,Definition,$\bar{A} \cap B=\varnothing=A \cap \bar{B}$.
10.1,1,Definition,$D(a ; r)=\{z:|z-a|<r\}$
10.1,1,Theorem,$\operatorname{Ind}_{\nu}(z)=\frac{1}{2 \pi i} \int_{\gamma} \frac{d \zeta}{\zeta-z} \quad(z \in \Omega)$
10.1,4,Definition,"$E \subset V \cup W, \quad E \cap V \neq \varnothing, \quad E \cap W \neq \varnothing, \quad E \cap V \cap W=\varnothing$"
10.1,5,Theorem,$\varphi(t)=\frac{\gamma(t)-z}{\gamma(\alpha)-z} \quad(\alpha \leq t \leq \beta)$.
10.1,4,Theorem,$\frac{\varphi^{\prime}(t)}{\varphi(t)}=\frac{\gamma^{\prime}(t)}{\gamma(t)-z}$
10.11,2,Theorem,$\operatorname{Ind}_{\gamma}(z)=\left\{\begin{array}{ll}1 & \text { if }|z-a|<r \\ 0 & \text { if }|z-a|>r\end{array}\right.$
10.13,1,Theorem,$\int_{\partial \Delta} f(z) d z=0$.
10.13,3,Theorem,$J=\sum_{j=1}^{4} \int_{\partial \Delta^{\prime}} f(z) d z$
10.13,2,Theorem,"$\left\{a, c^{\prime}, b^{\prime}\right\}, \quad\left\{b, a^{\prime}, c^{\prime}\right\}, \quad\left\{c, b^{\prime}, a^{\prime}\right\}, \quad\left\{a^{\prime}, b^{\prime}, c^{\prime}\right\}$"
10.13,6,Theorem,$\int_{\partial \Delta_{n}} f(z) d z=\int_{\partial \Delta_{n}}\left[f(z)-f\left(z_{0}\right)-f^{\prime}\left(z_{0}\right)\left(z-z_{0}\right)\right] d z$
10.13,7,Theorem,$\left|\int_{\partial \Delta_{n}} f(z) d z\right| \leq \epsilon\left(2^{-n} L\right)^{2}$
10.13,5,Theorem,$\left|f(z)-f\left(z_{0}\right)-f^{\prime}\left(z_{0}\right)\left(z-z_{0}\right)\right| \leq \epsilon\left|z-z_{0}\right|$
10.13,4,Theorem,"$|J| \leq 4^{n}\left|\int_{\partial \Delta_{n}} f(z) d z\right| \quad(n=1,2,3, \ldots)$"
10.14,6,Theorem,"$\frac{F(z)-F\left(z_{0}\right)}{z-z_{0}}-f\left(z_{0}\right)=\frac{1}{z-z_{0}} \int_{\left[z z_{0}, z\right]}\left[f(\xi)-f\left(z_{0}\right)\right] d \xi$"
10.14,2,Theorem,"$F(z)=\int_{[a, z]} f(\xi) d \xi \quad(z \in \Omega)$"
10.14,3,Theorem,"$\frac{F(z)-F\left(z_{0}\right)}{z-z_{0}}-f\left(z_{0}\right)=\frac{1}{z-z_{0}} \int_{\left[z z_{0}, z\right]}\left[f(\xi)-f\left(z_{0}\right)\right] d \xi$"
10.14,1,Theorem,$\int_{\gamma} f(z) d z=0$
10.18,4,Tbeorem,$g(z)=\left\{\begin{array}{ll}(z-a)^{-m} f(z) & (z \in \Omega-\{a\}) \\ c_{m} & (z=a) .\end{array}\right.$
10.18,5,Tbeorem,$g(z)=\sum_{k=0}^{\infty} c_{m+k}(z-a)^{k} \quad(z \in D(a ; r))$
10.18,3,Tbeorem,$f(z)=\sum_{n=0}^{\infty} c_{n}(z-a)^{n} \quad(z \in D(a ; r))$
10.2,1,Definition,$\lim _{z \rightarrow z_{0}} \frac{f(z)-f\left(z_{0}\right)}{z-z_{0}}$
10.2,3,Definition,$g(w)-g\left(w_{0}\right)=\left[g^{\prime}\left(w_{0}\right)+\eta(w)\right]\left(w-w_{0}\right)$
10.2,2,Definition,"$\left|\frac{f(z)-f\left(z_{0}\right)}{z-z_{0}}-f^{\prime}\left(z_{0}\right)\right|<\epsilon \quad$ for all $z \in D^{\prime}\left(z_{0} ; \delta\right)$.
$$"
10.2,4,Definition,$\frac{h(z)-h\left(z_{0}\right)}{z-z_{0}}=\left[g^{\prime}\left(f\left(z_{0}\right)\right)+\eta(f(z))\right]\left[f^{\prime}\left(z_{0}\right)+\epsilon(z)\right]$
10.2,20,Definition,$h^{\prime}\left(z_{0}\right)=g^{\prime}\left(f\left(z_{0}\right)\right) f^{\prime}\left(z_{0}\right) \quad\left(z_{0} \in \Omega\right)$.
10.21,4,Theorem,$h(z)=\sum_{n=0}^{\infty} b_{n}(z-a)^{n} \quad(z \in D)$
10.21,2,Theorem,$g(z)=(z-a)^{m} g_{1}(z) \quad(z \in D)$
10.21,3,Theorem,$f(z)-w=(z-a)^{-m} h(z) \quad\left(z \in D^{\prime}\right)$.
10.21,1,Theorem,$g(z)=\frac{1}{f(z)-w} \quad\left(z \in D^{\prime}\right)$
10.22,4,Theorem,"$c_{n} r^{n}=\frac{1}{2 \pi} \int_{-\pi}^{\pi} f\left(a+r e^{i \theta}\right) e^{-i n \theta} d \theta \quad(n=0,1,2, \ldots)$"
10.22,1,Theorem,$f(z)=\sum_{n=0}^{\infty} c_{n}(z-a)^{n} \quad(z \in D(a ; R))$
10.22,2,Theorem,$\sum_{n=0}^{\infty}\left|c_{n}\right|^{2} r^{2 n}=\frac{1}{2 \pi} \int_{-\pi}^{\pi}\left|f\left(a+r e^{i \theta}\right)\right|^{2} d \theta$
10.22,3,Theorem,$f\left(a+r e^{i \theta}\right)=\sum_{n=0}^{\infty} c_{n} r^{n} e^{i n \theta}$
10.24,2,Theorem,$|f(a)| \geq \min _{\theta}\left|f\left(a+r e^{i \theta}\right)\right|$
10.24,1,Theorem,$|f(a)| \leq \max _{\theta}\left|f\left(a+r e^{i \theta}\right)\right|$.
10.26,1,Theorem,"$\left|f^{(n)}(a)\right| \leq \frac{n ! M}{R^{n}} \quad(n=1,2,3, \ldots)$"
10.3,22,Theorem,$\left|\varphi\left(z_{1}\right)-\varphi\left(z_{2}\right)\right| \geq \frac{1}{2}\left|\varphi^{\prime}\left(z_{0}\right)\right|\left|z_{1}-z_{2}\right|$
10.3,3,Theorem,$\left|\varphi\left(a+r e^{i \theta}\right)-\varphi(a)\right|>2 c \quad(-\pi \leq \theta \leq \pi)$
10.3,2,Theorem,$\varphi^{\prime}(z) \neq 0 \quad(z \in V)$.
10.3,1,Theorem,$\left|\varphi\left(z_{1}\right)-\varphi\left(z_{2}\right)\right| \geq \frac{1}{2}\left|\varphi^{\prime}\left(z_{0}\right)\right|\left|z_{1}-z_{2}\right|$
10.3,4,Theorem,$\min _{\theta}\left|\lambda-\varphi\left(a+r e^{i \theta}\right)\right|>c$.
10.32,1,Theorem,$f(z)-w_{0}=\left(z-z_{0}\right)^{m} g(z) \quad(z \in \Omega)$
10.33,8,Theorem,$\operatorname{Ind}_{\Gamma}(\alpha)=\sum_{i=1}^{n} \operatorname{Ind}_{\gamma_{i}}(\alpha)$
10.33,1,Theorem,$\tilde{\gamma}_{i}(f)=\int_{\gamma_{i}} f(z) d z$
10.33,3,Theorem,$\Gamma=\gamma_{1} \dot{+} \cdots \dot{+} \gamma_{n}$
10.33,2,Theorem,$\tilde{\Gamma}=\tilde{\gamma}_{1}+\cdots+\tilde{\gamma}_{n}$.
10.33,6,Theorem,$\Gamma^{*}=\gamma_{1}^{*} \cup \cdots \cup \gamma_{n}^{*}$.
10.33,10,Theorem,$\int_{\Gamma} f(z) d z=\int_{\Gamma_{1}} f(z) d z+\int_{\Gamma_{2}} f(z) d z$
10.33,7,Theorem,$\operatorname{Ind}_{\Gamma}(\alpha)=\frac{1}{2 \pi i} \int_{\Gamma} \frac{d z}{z-\alpha}$
10.33,5,Theorem,$\int_{\Gamma} f(z) d z=\sum_{i=1}^{n} \int_{\gamma_{i}} f(z) d z \quad(f \in C(K))$.
10.33,4,Theorem,$\int_{\Gamma} f(z) d z=\tilde{\Gamma}(f)$.
10.35,10,Theorem,$h_{1}(z)=\frac{1}{2 \pi i} \int_{\Gamma} \frac{f(w)}{w-z} d w \quad\left(z \in \Omega_{1}\right)$
10.35,11,Theorem,$\lim _{|z| \rightarrow \infty} \varphi(z)=\lim _{|z| \rightarrow \infty} h_{1}(z)=0$
10.35,12,Theorem,$\frac{1}{2 \pi i} \int_{\Gamma} f(z) d z=\frac{1}{2 \pi i} \int_{\Gamma} \frac{F(z)}{z-a} d z=F(a) \cdot \operatorname{Ind}_{\Gamma}(a)=0$
10.35,8,Theorem,$h(z)=0$.
10.35,9,Theorem,"$\int_{\partial \Delta} h(z) d z=\frac{1}{2 \pi i} \int_{\Gamma}\left(\int_{\partial \Delta} g(z, w) d z\right) d w$."
10.35,1,Theorem,$\operatorname{Ind}_{\Gamma}(\alpha)=0 \quad$ for every $\alpha$ not in $\Omega$
10.35,2,Theorem,$f(z) \cdot \operatorname{Ind}_{\Gamma}(z)=\frac{1}{2 \pi i} \int_{\Gamma} \frac{f(w)}{w-z} d w \quad$ for $z \in \Omega-\Gamma^{*}$
10.35,3,Theorem,$\int_{\Gamma} f(z) d z=0$
10.35,7,Theorem,"$h(z)=\frac{1}{2 \pi i} \int_{\Gamma} g(z, w) d w \quad(z \in \Omega)$"
10.35,6,Theorem,"$g(z, w)=\left\{\begin{array}{ll}\frac{\text { if } w \neq z}{w-z} & \end{array}\right.$"
10.35,4,Theorem,"$\operatorname{Ind}_{\Gamma_{0}}(\alpha)=\operatorname{Ind}_{\Gamma_{1}}(\alpha) \quad$ for every $\alpha$ not in $\Omega$,"
10.35,5,Theorem,$\int_{\Gamma_{0}} f(z) d z=\int_{\Gamma_{1}} f(z) d z$
10.37,2,Theorem,$\operatorname{Ind}_{f}(z)=0 \quad$ if $z \in D_{+}$.
10.37,1,Theorem,$\operatorname{Ind}_{g}(w)=0 \quad$ if $w \in D_{-}$.
10.39,1,Lemma,$\left|\gamma_{1}(s)-\gamma_{0}(s)\right|<\left|\alpha-\gamma_{0}(s)\right| \quad(0 \leq s \leq 1)$
10.39,2,Lemma,$\frac{\gamma^{\prime}}{\gamma}=\frac{\gamma_{1}^{\prime}}{\gamma_{1}-\alpha}-\frac{\gamma_{0}^{\prime}}{\gamma_{0}-\alpha}$
10.4,1,Theorem,$\operatorname{Ind}_{\Gamma_{1}}(\alpha)=\operatorname{Ind}_{\Gamma_{0}}(\alpha)$
10.4,3,Theorem,"$|\alpha-H(s, t)|>2 \epsilon \quad$ if $\quad(s, t) \in I^{2}$"
10.4,2,Theorem,"$H(s, 0)=\Gamma_{0}(s), \quad H(s, 1)=\Gamma_{1}(s), \quad H(0, t)=H(1, t)$"
10.4,6,Theorem,"$\left|\gamma_{k}(s)-H(s, k / n)\right|<\epsilon \quad(k=0, \ldots, n ; 0 \leq s \leq 1)$"
10.4,7,Theorem,"$\left|\gamma_{0}(s)-\Gamma_{0}(s)\right|<\epsilon, \quad\left|\gamma_{n}(s)-\Gamma_{1}(s)\right|<\epsilon$."
10.4,5,Theorem,"$\gamma_{k}(s)=H\left(\frac{i}{n}, \frac{k}{n}\right)(n s+1-i)+H\left(\frac{i-1}{n}, \frac{k}{n}\right)(i-n s)$"
10.4,4,Theorem,"$\left|H(s, t)-H\left(s^{\prime}, t^{\prime}\right)\right|<\epsilon \quad$ if $\quad\left|s-s^{\prime}\right|+\left|t-t^{\prime}\right| \leq 1 / n$."
10.4,9,Theorem,"$\left|\gamma_{k-1}(s)-\gamma_{k}(s)\right|<\epsilon \quad(k=1, \ldots, n ; 0 \leq s \leq 1)$"
10.4,8,Theorem,"$\left|\alpha-\gamma_{k}(s)\right|>\epsilon \quad(k=0, \ldots, n ; 0 \leq s \leq 1)$"
10.41,1,Definition,$Q(z)=\sum_{k=1}^{m} c_{k}(z-a)^{-k}$
10.41,2,Definition,$c_{1}=\operatorname{Res}(f ; a)$.
10.41,3,Definition,$\frac{1}{2 \pi i} \int_{\Gamma} Q(z) d z=c_{1} \operatorname{Ind}_{\Gamma}(a)=\operatorname{Res}(Q ; a) \operatorname{Ind}_{\Gamma}(a)$.
10.42,2,Theorem,$\frac{1}{2 \pi i} \int_{\Gamma} f(z) d z=\sum_{a \in A} \operatorname{Res}(f ; a) \operatorname{Ind}_{\Gamma}(a)$.
10.42,3,Theorem,$\int_{\Gamma} g(z) d z=0$
10.42,1,Theorem,$\operatorname{Ind}_{\Gamma}(\alpha)=0 \quad$ for all $\quad \alpha \notin \Omega$
10.42,4,Theorem,$\operatorname{Ind}_{\Gamma}(\alpha)=0 \quad$ for all $\quad \alpha \notin \Omega$
10.43,3,Theorem,$\frac{1}{\pi} \varphi_{A}(s)=\frac{1}{2 \pi} \int_{-\pi}^{0} \exp \left(i s A e^{i \theta}\right) d \theta$
10.43,2,Theorem,"$|f(z)-g(z)|<|f(z)| \quad$ for all $z \in \gamma^{*}$
"
10.43,0,Theorem,$N_{f}=\frac{1}{2 \pi i} \int_{\gamma} \frac{f^{\prime}(z)}{f(z)} d z=\operatorname{Ind}_{\Gamma}$
10.43,1,Theorem,$N_{f}=\frac{1}{2 \pi i} \int_{\gamma} \frac{f^{\prime}(z)}{f(z)} d z=\operatorname{Ind}_{\Gamma}$
10.43,5,Theorem,$\left|\exp \left(i s A e^{i \theta}\right)\right|=\exp (-A s \sin \theta)$
10.43,4,Theorem,$\operatorname{Res}(\varphi ; a)=m(a)$
10.43,7,Theorem,$\lim _{A \rightarrow \infty} \int_{-A}^{A} \frac{\sin x}{x} e^{i t x} d x=\left\{\begin{array}{ll}\pi & \text { if }-1<t<1 \\ 0 & \text { if }|t|>1 .\end{array}\right.$
10.6,2,Theorem,$f^{\prime}(z)=\sum_{n=1}^{\infty} n c_{n}(z-a)^{n-1}$
10.6,7,Theorem,$f^{(k)}(z)=\sum_{n=k}^{\infty} n(n-1) \cdots(n-k+1) c_{n}(z-a)^{n-k}$
10.6,6,Theorem,$\left|\frac{f(z)-f(w)}{z-w}-g(w)\right| \leq|z-w| \sum_{n=2}^{\infty} n^{2}\left|c_{n}\right| \rho^{n-2}$
10.6,4,Theorem,$(z-w) \sum_{k=1}^{n-1} k w^{k-1} z^{n-k-1}$
10.6,5,Theorem,$\frac{n(n-1)}{2} \rho^{n-2}$
10.6,8,Theorem,"$k ! c_{k}=f^{(k)}(a) \quad(k=0,1,2, \ldots)$"
10.7,1,Theorem,$f(z)=\int_{X} \frac{d \mu(\zeta)}{\varphi(\zeta)-z} \quad(z \in \Omega)$
10.7,2,Theorem,$\int_{\gamma_{1}} f(z) d z=\int_{\gamma} f(z) d z$
10.7,6,Theorem,"$\left|c_{n}\right| \leq \frac{|\mu|(X)}{r^{n+1}} \quad(n=0,1,2, \ldots)$"
10.7,5,Theorem,"$c_{n}=\int_{X} \frac{d \mu(\zeta)}{(\varphi(\zeta)-a)^{n+1}} \quad(n=0,1,2, \ldots)$"
10.7,4,Theorem,$f(z)=\sum_{0}^{\infty} c_{n}(z-a)^{n} \quad(z \in D(a ; r))$
11.1,2,Definition,$f(z)=\frac{\alpha-i \beta}{2} z+\frac{\alpha+i \beta}{2} \bar{z}+\eta(z) z$
11.1,3,Definition,"$\partial=\frac{1}{2}\left(\frac{\partial}{\partial x}-i \frac{\partial}{\partial y}\right), \quad \bar{\partial}=\frac{1}{2}\left(\frac{\partial}{\partial x}+i \frac{\partial}{\partial y}\right)$"
11.1,1,Definition,$f(z)=\alpha x+\beta y+\eta(z) z \quad(z=x+i y)$
11.12,1,Definition,"$u(z)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} u\left(z+r_{n} e^{i t}\right) d t \quad(n=1,2,3, \ldots)$"
11.14,5,Theorem,$f_{t}(z)=f_{s}(z) \quad\left(z \in D_{t} \cap D_{s}\right)$.
11.14,4,Theorem,$f_{t}(\bar{z})=\overline{f_{t}(z)} \quad\left(z \in D_{t}\right)$
11.14,6,Theorem,$F(z)=\left\{\begin{array}{ll}f_{t}(z) & \text { for } z \in D_{t}\end{array}\right.$
11.14,7,Theorem,$f(\bar{z})=\sum_{n=0}^{\infty} c_{n}(\bar{z}-\bar{a})^{n}$.
11.14,3,Theorem,$F(\bar{z})=\overline{F(z)} \quad\left(z \in \Omega^{+} \cup L \cup{\Omega^{-}}\right.$.
11.14,2,Theorem,$\lim _{n \rightarrow \infty} v\left(z_{n}\right)=0$
11.14,1,Theorem,$\Omega^{-}=\left\{z: \bar{z} \in \Omega^{+}\right\}$.
11.14,8,Theorem,$F(z)=\sum_{n=0}^{\infty} \bar{c}_{n}(z-a)^{n} \quad(z \in D(a ; r))$.
11.16,6,Theorem,$\left\|u_{r}-f\right\|_{p} \leq 2 \epsilon+\left\|v_{r}-g\right\|_{p}$
11.16,5,Theorem,$u_{r}-f=\left(u_{r}-v_{r}\right)+\left(v_{r}-g\right)+(g-f)$.
11.16,1,Theorem,$\left\|u_{r}\right\|_{p} \leq\|f\|_{p} \quad(0 \leq r<1)$
11.16,2,Theorem,$\lim _{r \rightarrow 1}\left\|u_{r}-f\right\|_{p}=0$
11.16,3,Theorem,$(M \mu)\left(e^{i \theta}\right)=\sup \frac{|\mu|(I)}{\sigma(I)}$
11.2,1,Theorem,$(\bar{\partial} f)(z)=0$
11.2,6,Theorem,$\mu\left(I_{j}\right) \leq(M \mu) \sigma\left(I_{j}\right)$
11.2,7,Theorem,$=M \int_{T} K d \sigma \leq M \int_{T} P_{r} d \sigma=M$
11.2,2,Theorem,$f^{\prime}(z)=(\partial f)(z) \quad(z \in \Omega)$.
11.2,5,Theorem,$K=\sum_{j=1}^{n}\left(h_{j}-h_{j+1}\right) \chi_{j}$
11.2,4,Theorem,$\int_{T} P_{r}(t) d \mu\left(e^{i t}\right) \leq(M \mu) \quad(0 \leq r \leq 1)$.
11.2,3,Theorem,$\Delta f=4 \partial \bar{\partial} f$
11.2,1,Theorem,$c_{\alpha}\left(N_{\alpha} u\right)\left(e^{i \theta}\right) \leq\left(M_{\mathrm{rad}} u\right)\left(e^{i \theta}\right) \leq(M \mu)\left(e^{i \theta}\right)$
11.2,6,Theorem,"$P\left(z, e^{i t}\right)=\frac{1-|z|^{2}}{\left|e^{i t}-z\right|^{2}}$"
11.2,4,Theorem,$P_{r}(t)<P_{r}(\delta) \quad(0<\delta<|t| \leq \pi)$
11.2,3,Theorem,$c_{\alpha}\left|e^{i t}-r\right|^{2} \leq\left|e^{i t}-z\right|^{2}$
11.2,2,Theorem,"$c_{\alpha} P\left(z, e^{i t}\right) \leq P\left(|z|, e^{i t}\right)$"
11.2,5,Theorem,$\lim _{r \rightarrow 1} P_{r}(\delta)=0 \quad(0<\delta \leq \pi)$
11.22,5,Theorem,$c_{\alpha}\left(N_{\alpha} u_{0}\right)\left(e^{i \theta}\right) \leq\left(M \mu_{0}\right)\left(e^{i \theta}\right) \leq \epsilon$
11.22,4,Theorem,$\lim _{j \rightarrow \infty} u_{1}\left(z_{j}\right)=0$
11.22,6,Theorem,$\limsup _{j \rightarrow \infty} u_{0}\left(z_{j}\right) \leq \epsilon / c_{\alpha}$.
11.22,7,Theorem,$\lim _{j \rightarrow \infty} u\left(z_{j}\right)=0$
11.22,3,Theorem,"$u_{1}\left(z_{j}\right)=\int_{T-I_{0}} P\left(z_{j}, e^{i t}\right) d \mu\left(e^{i t}\right)$"
11.22,2,Theorem,$\mu(I)<\epsilon \sigma(I)$
11.22,1,Theorem,$\lim \mu(I) / \sigma(I)=0$
11.23,2,Theorem,$\mu(E)=\int_{E}|f| d \sigma$
11.23,3,Theorem,$|P[f]| \leq P[|f|]=P[d \mu]$.
11.23,1,Theorem,$\lim \frac{1}{\sigma(I)} \int_{I}|f| d \sigma=0$
11.29,1,Theorem,$\Lambda x=\lim _{i \rightarrow \infty} \Lambda_{n_{i}} x$
11.3,1,Theorem,$\sup _{0<r<1}\left\|u_{r}\right\|_{p}=M<\infty$
11.3,2,Theorem,$\Lambda_{r} g=\int_{T} g u_{r} d \sigma \quad(0 \leq r<1)$
11.3,3,Theorem,$\lim _{j \rightarrow \infty} \int_{T} g u_{r_{j}} d \sigma=\int_{T} g d \mu$
11.3,7,Theorem,$\int_{T}\left|u_{r}\right| d \sigma=\int_{T} u_{r} d \sigma=u \quad(0 \leq r<1)$
11.3,6,Theorem,$\int_{T} f d \mu=0$
11.3,4,Theorem,"$g\left(e^{i t}\right)=P\left(z, e^{i t}\right)$"
11.3,5,Theorem,$\int_{T} u_{r} d \mu=\int_{T} v_{r} f d \sigma \quad(0 \leq r<1)$.
11.8,3,Theorem,$\|H g\|_{\bar{U}}=\|g\|_{T} \quad(g \in C(T))$
11.8,2,Theorem,"$\left|P[g]\left(r e^{i \theta}\right)\right| \leq\|g\|_{T} \quad(0 \leq r<1)$,"
11.8,5,Theorem,$(H g)\left(r e^{i \theta}\right)=\sum_{n=-N}^{N} c_{n} r^{|n|} e^{i n \theta}$
11.8,4,Theorem,$g\left(e^{i \theta}\right)=\sum_{n=-N}^{N} c_{n} e^{i n \theta}$
11.8,6,Theorem,$\left\|H g_{k}-H f\right\|_{\bar{U}}=\left\|H\left(g_{k}-f\right)\right\|_{\bar{U}} \rightarrow 0$
11.9,2,Theorem,$g(z)=h(z)+\epsilon|z|^{2} \quad(z \in \bar{U})$.
11.9,1,Theorem,$f(z)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} \frac{e^{i t}+z}{e^{i t}-z} u\left(e^{i t}\right) d t \quad(z \in U)$
12.1,1,Definition,$|f(z)| \leq\|f\|_{\partial \Omega}$
12.1,2,Definition,"$|f(z)| \leq\left\|f^{*}\right\|_{\infty} \quad\left(z \in U, f \in H^{\infty}(U)\right)$."
12.1,1,Theorem,$\lim _{t \rightarrow 1} g(\Gamma(t))=L$
12.1,3,Theorem,$h(z)=g(z) \overline{g(\bar{z})} g(2 r-z) \overline{g(2 r-\bar{z})}$.
12.1,2,Theorem,$|g(\Gamma(t))|<\epsilon \quad$ and $\quad \operatorname{Re} \Gamma(t)>r_{0}>\frac{1}{2}$
12.1,6,Theorem,$h_{c}(z)=h(z)(1-z)^{c}(2 r-1-z)^{c}$
12.1,5,Theorem,$|h(z)|<\epsilon \quad$ if $\quad z \in \Omega \cap E$.
12.1,4,Theorem,$|h(r)|<\epsilon$.
12.12,69,Theorem,$(\partial \bar{\partial})(f g)=f \cdot(\partial \bar{\partial} g)+(\partial f) \cdot(\bar{\partial} g)+(\bar{\partial} f) \cdot(\partial g)+(\partial \bar{\partial} f) \cdot g$.
12.12,4,Theorem,"$b_{n}=B_{n}^{1 / p} \beta_{n}, \quad\left|\beta_{n}\right|=1, \quad \sum_{n=1}^{N} B_{n}=1$"
12.12,5,Theorem,$\sum_{n=1}^{N} b_{n} \hat{f}(n)=\sum_{n=1}^{N} B_{n}^{1 / p} \beta_{n} \int_{X} F^{1 / p} \varphi \bar{\psi}_{n} d \mu$
12.12,7,Theorem,$c_{n}(y)=\int_{X} F^{1 / 2} F^{i y} \varphi \bar{\psi}_{n} d \mu$.
12.12,6,Theorem,$\Phi(z)=\sum_{n=1}^{N} B_{n}^{z} \beta_{n} \int_{X} F^{z} \varphi \bar{\psi}_{n} d \mu$
12.12,10,Theorem,$|\Phi(1+i y)| \leq M \quad(-\infty<y<\infty)$
12.12,2,Theorem,$\left|\sum_{n=1}^{N} b_{n} \hat{f}(n)\right| \leq M^{(2-p) / p}$
12.12,3,Theorem,"$f=F^{1 / p} \varphi, \quad|\varphi|=1, \quad \int_{X} F d \mu=1$"
12.12,11,Theorem,"$|\Phi(x+i y)| \leq M^{2 x-1} \quad\left(\frac{1}{2} \leq x \leq 1,-\infty<y<\infty\right)$."
12.12,13,Theorem,$\left\{\sum_{n=1}^{N}|\hat{f}(n)|^{q}\right\}^{1 / q} \leq M^{(2-p) / p}\|f\|_{p}$
12.12,1,Theorem,$\|\hat{f}\|_{q} \leq M^{(2-p) / p}\|f\|_{p}$
12.12,0,Theorem,$(\partial \bar{\partial})(f g)=f \cdot(\partial \bar{\partial} g)+(\partial f) \cdot(\bar{\partial} g)+(\bar{\partial} f) \cdot(\partial g)+(\partial \bar{\partial} f) \cdot g$.
12.12,12,Theorem,"$\left\{\sum_{n=1}^{N}|\hat{f}(n)|^{q}\right\}^{1 / q}=\sup \left|\sum_{n=1}^{N} b_{n} \hat{f}(n)\right|$,"
12.2,2,Theorem,$\left|f^{\prime}\right| \leq 1$
12.2,1,Theorem,$|f(z)| \leq|z| \quad(z \in U)$
12.4,2,Theorem,$\varphi_{-\alpha}\left(\varphi_{\alpha}(z)\right)=z$
