Type,Formula#,Type#,latex
12.4,3,Theorem,$\left|\frac{e^{i t}-\alpha}{1-\bar{\alpha} e^{i t}}\right|=\frac{\left|e^{i t}-\alpha\right|}{\left|e^{-i t}-\bar{\alpha}\right|}=1$
12.4,1,Theorem,"$\varphi_{\alpha}^{\prime}=1-|\alpha|^{2}, \quad \varphi_{\alpha}^{\prime}(\alpha)=\frac{1}{1-|\alpha|^{2}}$"
12.4,4,Theorem,$f(z)=\varphi_{-\beta}\left(\lambda \varphi_{\alpha}(z)\right) \quad(z \in U)$
12.6,0,Theorem,$g^{\prime} f^{\prime}(\alpha)=1$.
12.6,1,Theorem,$f(z)=\lambda \varphi_{\alpha}(z) \quad(z \in U)$
12.6,3,Theorem,"$\left|f^{\prime}(\alpha)\right| \leq \frac{1}{1-|\alpha|^{2}}, \quad\left|g^{\prime}\right| \leq 1-|\alpha|^{2}$"
12.6,2,Theorem,$g^{\prime} f^{\prime}(\alpha)=1$.
12.6,5,Theorem,$|f(z)|<1+|z|^{1 / 2}$
12.6,4,Theorem,$f\left(x \pm \frac{\pi i}{2}\right)=\exp \left( \pm i e^{x}\right)$
12.8,9,Theorem,"$|g(a+i y)|=M(a), \quad|g(b+i y)|=M(b)$"
12.8,8,Theorem,$M^{w}=\exp (w \log M)$
12.8,6,Theorem,$\left|f(z) h_{\epsilon}(z)\right| \leq \frac{B}{\epsilon|y|} \quad(z=x+i y \in \bar{\Omega})$.
12.8,7,Theorem,$g(z)=M(a)^{(b-z) /(b-a)} M(b)^{(z-a) /(b-a)}$
12.8,5,Theorem,$\left|f(z) h_{\epsilon}(z)\right| \leq 1 \quad(z \in \partial \Omega)$.
12.8,4,Theorem,$h_{\epsilon}(z)=\frac{1}{1+\epsilon(z-a)} \quad(z \in \bar{\Omega})$
12.8,1,Theorem,"$\Omega=\{x+i y: a<x<b\}, \quad \bar{\Omega}=\{x+i y: a \leq x \leq b\}$"
12.8,3,Theorem,$M(x)^{b-a} \leq M(a)^{b-x} M(b)^{x-a} \quad(a<x<b)$
12.9,7,Theorem,$\left|f(z) h_{\epsilon}(z)\right| \leq \exp \left\{A e^{\alpha|x|}-\epsilon \delta\left(e^{\beta x}+e^{-\beta x}\right)\right\} \quad(z \in \bar{\Omega})$
12.9,6,Theorem,$\left|h_{\epsilon}(z)\right| \leq \exp \left\{-\epsilon \delta\left(e^{\beta x}+e^{-\beta x}\right)\right\}<1 \quad(z \in \bar{\Omega})$.
12.9,4,Theorem,$h_{\epsilon}(z)=\exp \left\{-\epsilon\left(e^{\beta z}+e^{-\beta z}\right)\right\}$.
12.9,5,Theorem,$\operatorname{Re}\left[e^{\beta z}+e^{-\beta z}\right]=\left(e^{\beta x}+e^{-\beta x}\right) \cos \beta y \geq \delta\left(e^{\beta x}+e^{-\beta x}\right)$
12.9,1,Theorem,"$\Omega=\left\{x+i y:|y|<\frac{\pi}{2}\right\}, \quad \bar{\Omega}=\left\{x+i y:|y| \leq \frac{\pi}{2}\right\}$"
12.9,2,Theorem,$|f(z)|<\exp \{A \exp (\alpha|x|)\} \quad(z=x+i y \in \Omega)$
12.9,3,Theorem,$\left|f\left(x \pm \frac{\pi i}{2}\right)\right| \leq 1 \quad(-\infty<x<\infty)$.
13.1,1,Theorem,"$Q_{n}(z)=\sum_{\alpha \in A_{n}} P_{\alpha}(z) \quad(n=1,2,3, \ldots)$"
13.1,2,Theorem,$\left|R_{n}(z)-Q_{n}(z)\right|<2^{-n} \quad\left(z \in K_{n-1}\right)$.
13.1,1,Definition,"$\varphi\left(r e^{i \theta}\right)=\left(\frac{2 r \cos \theta}{r^{2}+1}, \frac{2 r \sin \theta}{r^{2}+1}, \frac{r^{2}-1}{r^{2}+1}\right)$"
13.11,1,Theorem,$F(z)=\int_{\Gamma(z)} f(\zeta) d \zeta \quad(z \in \Omega)$
13.11,2,Theorem,"$\frac{F(z)-F(a)}{z-a}=\frac{1}{z-a} \int_{[a, z]} f(\zeta) d \zeta$"
13.5,6,Theorem,$\operatorname{Ind}_{\Gamma}(\alpha)=\left\{\begin{array}{ll}1 & \text { if } \alpha \text { is in the interior of some } Q_{r} \\ 0 & \text { if } \alpha \text { lies in no } Q_{r}\end{array}\right.$
13.5,5,Theorem,$\operatorname{Ind}_{\Gamma}(\alpha)=\sum_{r=1}^{m} \operatorname{Ind}_{\partial Q_{r}}(\alpha)$
13.5,1,Theorem,$f(z)=\frac{1}{2 \pi i} \int_{\Gamma} \frac{f(\zeta)}{\zeta-z} d \zeta$
13.5,2,Theorem,"$\gamma_{r k}=\left[a_{r}+i^{k} b, a_{r}+i^{k+1} b\right]$"
13.5,3,Theorem,"$\partial Q_{r}=\gamma_{r 1}+\gamma_{r 2} \dot{+} \gamma_{r 3} \dot{+} \gamma_{r 4} \quad(r=1, \ldots, m)$."
13.6,4,Theorem,$h(z)=\int_{K} \frac{d \mu(\zeta)}{\zeta-z} \quad\left(z \in S^{2}-K\right)$
13.6,7,Theorem,$h(z)=0 \quad\left(z \in S^{2}-K\right)$
13.6,6,Theorem,"$\frac{1}{\zeta-z}=-\lim _{N \rightarrow \infty} \sum_{n=0}^{N} z^{-n-1} \zeta^{n} \quad(\zeta \in K,|z|>r)$"
13.6,2,Theorem,$\int_{K} R d \mu=0$
13.6,3,Theorem,$\int_{K} f d \mu=0$
13.6,1,Theorem,$|f(z)-R(z)|<\epsilon$
13.6,0,Theorem,"By Theorem 10.7 (with $X=K, \varphi(\zeta)=\zeta), h \in H\left(S^{2}-K\right)$."
13.9,2,Theorem,"$\left|R_{n}(z)-f(z)\right|<\frac{1}{n} \quad(z \in K, n \geq N)$"
13.9,1,Theorem,$\left|R_{n}(z)-f(z)\right|<\frac{1}{n} \quad\left(z \in K_{n}\right)$.
14.1,5,Definition,$\varphi(z)=\frac{(b-c)(z-a)}{(b-a)(z-c)}$
14.1,4,Definition,$\lim _{r \rightarrow 0} e^{-i \theta} A\left[f\left(r e^{i \theta}\right)\right]=\frac{\alpha+\beta e^{-2 i \theta}}{\left|\alpha+\beta e^{-2 i \theta}\right|}$
14.1,3,Definition,$f(z)=\alpha z+\beta \bar{z}+|z| \eta(z)$
14.1,2,Definition,$\lim _{r \rightarrow 0} e^{-i \theta} A\left[f\left(z_{0}+r e^{i \theta}\right)-f\left(z_{0}\right)\right] \quad(r>0)$
14.1,1,Definition,$A[z]=\frac{z}{|z|}$
14.1,2,Definition,$f(z)=z+\sum_{n=2}^{\infty} a_{n} z^{n} \quad(z \in U)$
14.1,1,Definition,"$f=0, \quad f^{\prime}=1$"
14.12,2,Theorem,$g(z)=z h\left(z^{2}\right) \quad(z \in U)$.
14.12,1,Theorem,$g^{2}(z)=f\left(z^{2}\right) \quad(z \in U)$.
14.13,9,Theorem,$\sum_{n=1}^{N} n\left|\alpha_{n}\right|^{2}\left(1-r^{2 n}\right) \leq 1+\eta r$
14.13,8,Theorem,$=\pi\left\{r^{-2}-1+\sum_{1}^{\infty} n\left|\alpha_{n}\right|^{2}\left(1-r^{2 n}\right)\right\}$.
14.13,3,Theorem,$F(z)=\frac{1}{z}+\alpha_{1} z+\varphi(z) \quad(z \in U)$
14.13,2,Theorem,$\sum_{n=1}^{\infty} n\left|\alpha_{n}\right|^{2} \leq 1$
14.13,5,Theorem,$u=A \cos \theta+\operatorname{Re} \varphi \quad$ and $\quad v=-B \sin \theta+\operatorname{Im} \varphi$
14.13,4,Theorem,"$A=\frac{1}{r}+\alpha_{1} r, \quad B=\frac{1}{r}-\alpha_{1} r$."
14.13,6,Theorem,$\frac{u^{2}}{A^{2}}+\frac{v^{2}}{B^{2}}<1+\eta r^{3} \quad\left(z=r e^{i \theta}\right)$
14.13,7,Theorem,$\pi A B\left(1+\eta r^{3}\right)=\pi\left(\frac{1}{r}+\alpha_{1} r\right)\left(\frac{1}{r}-\alpha_{1} r\right)\left(1+\eta r^{3}\right) \leq \frac{\pi}{r^{2}}\left(1+\eta r^{3}\right)$
14.18,1,Theorem,"$\lim _{r \rightarrow 1} g\left(r e^{i t}\right)=\beta \quad($ a.e. on $J)$,"
14.18,2,Theorem,"$\lim _{t \rightarrow 1} g\left(\Gamma_{i}(t)\right)=\beta_{i} \quad(i=1,2)$"
14.19,3,Remark,"$h(-1+i y)=h(1+i y)=h(\tau(-1+i y)) \quad(0<y<\infty)$,"
14.19,2,Remark,$h(-x+i y)=\overline{h(x+i y)}$
14.19,5,Remark,"$\lambda(z)=h\left(\varphi^{-1}(z)\right) \quad(z \in \varphi(Q), \varphi \in \Gamma)$"
14.19,4,Remark,$h\left(-\frac{1}{2}+\frac{1}{2} e^{i \theta}\right)=h\left(\frac{1}{2}+\frac{1}{2} e^{i(\pi-\theta)}\right)=h\left(\sigma\left(-\frac{1}{2}+\frac{1}{2} e^{i \theta}\right)\right) \quad(0<\theta<\pi)$
14.2,1,Remark,"$A(r, R)=\{z: r<|z|<R\}$"
14.22,8,Theorem,$f(\theta)=\sum_{k=-n}^{n} a_{k} e^{i k \theta}$
14.22,4,Theorem,$u(z)=2 \log |f(z)|-2 \alpha \log |z| \quad\left(z \in A_{1}\right)$.
14.22,5,Theorem,$\partial(2 \log |f|)=\partial(\log (\overline{f f}))=f^{\prime} / f$
14.22,7,Theorem,$\frac{f^{\prime}(z)}{f(z)}=\frac{\alpha}{z} \quad\left(z \in A_{1}\right)$.
14.22,6,Theorem,$(\partial u)(z)=\frac{f^{\prime}(z)}{f(z)}-\frac{\alpha}{z} \quad\left(z \in A_{1}\right)$
14.22,2,Theorem,"$A(1,1+\epsilon) \cap f^{-1}(K)=\varnothing$"
14.22,3,Theorem,$\alpha=\frac{\log R_{2}}{\log R_{1}}$
14.22,1,Theorem,"$A_{1}=A\left(1, R_{1}\right), \quad A_{2}=A\left(1, R_{2}\right)$"
14.22,0,Theorem,$\alpha=\frac{1}{2 \pi i} \int_{y} \frac{f^{\prime}(z)}{f(z)} d z=\operatorname{Ind}_{\Gamma}$.
14.6,3,Theorem,$\left|f\left(z^{\prime}\right)-f\left(z^{\prime \prime}\right)\right|<\frac{M\left(K_{n+1}\right)}{\delta_{n}}\left|z^{\prime}-z^{\prime \prime}\right|$
14.6,2,Theorem,$f\left(z^{\prime}\right)-f\left(z^{\prime \prime}\right)=\frac{z^{\prime}-z^{\prime \prime}}{2 \pi i} \int_{\gamma} \frac{f(\zeta)}{\left(\zeta-z^{\prime}\right)\left(\zeta-z^{\prime \prime}\right)} d \zeta$
14.6,1,Theorem,$D\left(z ; 2 \delta_{n}\right) \subset K_{n+1} \quad\left(z \in K_{n}\right)$.
15.1,2,Theorem,"$P_{\alpha}(z)=\sum_{j=1}^{1+m(\alpha)} c_{j, \alpha}(z-\alpha)^{-j}$"
15.1,3,Theorem,"$g(z) P_{\alpha}(z)=w_{0, \alpha}+w_{1, \alpha}(z-\alpha)+\cdots+w_{m(\alpha), \alpha}(z-\alpha)^{m(\alpha)}+\cdots$"
15.1,1,Theorem,$f(z)=e^{g(z)} \prod_{n=1}^{\infty} E_{p_{n}}\left(\frac{z}{z_{n}}\right)$.
15.1,4,Theorem,$g(z)=b_{1} z^{m+1}+b_{2} z^{m+2}+\cdots$
15.1,5,Theorem,"$\left|1-E_{n}\left(\frac{\alpha_{n}-\beta_{n}}{z-\beta_{n}}\right)\right| \leq\left(\frac{1}{2}\right)^{n+1} \quad(z \in K, n \geq N)$"
15.1,7,Theorem,$g(z) P(z)=w_{0}+w_{1} z+\cdots+w_{m} z^{m}+\cdots$.
15.1,6,Theorem,$g(z) P(z)=\left(c_{m+1}+c_{m} z+\cdots+c_{1} z^{m}\right) \quad\left(b_{1}+b_{2} z+b_{3} z^{2}+\cdots\right)$.
15.15,4,Theorem,$1=h g_{n}+f \varphi$
15.15,1,Theorem,$m(\varphi ; \alpha)=\min \left\{m\left(g_{i} ; \alpha\right): 1 \leq i \leq n-1\right\} \quad(\alpha \in \Omega)$
15.15,2,Theorem,"$\left[g_{1}, \ldots, g_{n-1}, g_{n}\right]=\left[\varphi, g_{n}\right]$"
15.15,3,Theorem,$m\left(1-h g_{n} ; \alpha\right) \geq m(\varphi ; \alpha) \quad(\alpha \in \Omega)$
15.17,2,Lemma,$\Gamma(t)=e^{i t} \quad(\delta \leq t \leq 2 \pi-\delta)$
15.17,3,Lemma,$\frac{1}{2 \pi} \int_{\delta}^{2 \pi-\delta} \log \left|1-e^{i \theta}\right| d \theta=\operatorname{Re}\left[\frac{1}{2 \pi i} \int_{\Gamma} h(z) \frac{d z}{z}\right]=\operatorname{Re}\left[\frac{1}{2 \pi i} \int_{\gamma} h(z) \frac{d z}{z}\right]$.
15.17,1,Lemma,"$\operatorname{Re} h(z)=\log |1-z|, \quad|\operatorname{Im} h(z)|<\frac{\pi}{2} \quad(z \in \Omega)$"
15.18,2,Theorem,$g(z)=f(z) \prod_{n=1}^{m} \frac{r^{2}-\bar{\alpha}_{n} z}{r\left(\alpha_{n}-z\right)} \prod_{n=m+1}^{N} \frac{\alpha_{n}}{\alpha_{n}-z}$
15.18,3,Theorem,$\log |g|=\frac{1}{2 \pi} \int_{-\pi}^{\pi} \log \left|g\left(r e^{i \theta}\right)\right| d \theta$
15.18,1,Theorem,$|f| \prod_{n=1}^{N} \frac{r}{\left|\alpha_{n}\right|}=\exp \left\{\frac{1}{2 \pi} \int_{-\pi}^{\pi} \log \left|f\left(r e^{i \theta}\right)\right| d \theta\right\}$
15.18,0,Theorem,$\log |g|=\frac{1}{2 \pi} \int_{-\pi}^{\pi} \log \left|g\left(r e^{i \theta}\right)\right| d \theta$
15.18,4,Theorem,$|g|=|f| \prod_{n=1}^{m} \frac{r}{\left|\alpha_{n}\right|}$.
15.18,5,Theorem,$\log \left|g\left(r e^{i \theta}\right)\right|=\log \left|f\left(r e^{i \theta}\right)\right|-\sum_{n=m+1}^{N} \log \left|1-e^{i\left(\theta-\theta_{n}\right)}\right|$
15.19,3,Theorem,$\mu_{r}(f) \leq \mu_{s}(f) \quad$ if $\quad 0<r<s<1$
15.19,2,Theorem,$n(r) \log 2 \leq \log M(2 r)$
15.19,1,Theorem,$M(r)=\sup _{\theta}\left|f\left(r e^{i \theta}\right)\right| \quad(0<r<\infty)$
15.19,5,Theorem,"$\mu_{r}(f) \leq \mu^{*}(f) \quad$ if $\quad 0<r<1$.
"
15.19,4,Theorem,$\mu_{r}(f) \rightarrow \log |f| \quad$ as $\quad r \rightarrow 0$
15.19,6,Theorem,$\lim _{r \rightarrow \infty} \frac{\log n(r)}{\log r}=k$
15.2,1,Definition,$p_{n}=\left(1+u_{1}\right)\left(1+u_{2}\right) \cdots\left(1+u_{n}\right)$
15.2,2,Definition,$p=\prod_{n=1}^{\infty}\left(1+u_{n}\right)$
15.21,3,Theorem,$\frac{1}{2 \pi} \int_{-\pi}^{\pi} \log \left|f\left(r e^{i \theta}\right)\right| d \theta$
15.21,2,Theorem,"$B(z)=z^{k} \prod_{n=1}^{\infty} \frac{\alpha_{n}-z}{1-\bar{\alpha}_{n} z} \frac{\left|\alpha_{n}\right|}{\alpha_{n}} \quad(z \in U)$,"
15.21,1,Theorem,$\sum_{n=1}^{\infty}\left(1-\left|\alpha_{n}\right|\right)<\infty$
15.23,4,Theorem,$\prod_{n=1}^{k}\left|\alpha_{n}\right| \geq C^{-1}|f| r^{k}$
15.23,1,Theorem,$\sum_{n=1}^{\infty}\left(1-\left|\alpha_{n}\right|\right)<\infty$
15.23,2,Theorem,$|f| \prod_{n=1}^{n(r)} \frac{r}{\left|\alpha_{n}\right|}=\exp \left\{\frac{1}{2 \pi} \int_{-\pi}^{\pi} \log \left|f\left(r e^{i \theta}\right)\right| d \theta\right\}$
15.23,3,Theorem,$|f| \prod_{n=1}^{k} \frac{r}{\left|\alpha_{n}\right|} \leq \exp \left\{\frac{1}{2 \pi} \int_{-\pi}^{\pi} \log ^{+}\left|f\left(r e^{i \theta}\right)\right| d \theta\right\}$.
15.24,1,Theorem,$\lim _{r \rightarrow 1} \frac{1}{2 \pi} \int_{-\pi}^{\pi} \log \left|B\left(r e^{i \theta}\right)\right| d \theta=0$.
15.24,3,Theorem,$\log \left|B_{N}\right| \leq \lim _{r \rightarrow 1} \frac{1}{2 \pi} \int_{-\pi}^{\pi} \log \left|B\left(r e^{i \theta}\right)\right| d \theta \leq \frac{1}{2 \pi} \int_{-\pi}^{\pi} \log \left|B^{*}\left(e^{i \theta}\right)\right| d \theta \leq 0$
15.24,2,Theorem,$B_{N}(z)=\prod_{n=N}^{\infty} \frac{\alpha_{n}-z}{1-\bar{\alpha}_{n} z} \cdot \frac{\left|\alpha_{n}\right|}{\alpha_{n}}$
15.26,8,Theorem,$f(z)=\int_{0}^{1} t^{z}\left\{\frac{1}{2 \pi} \int_{-\infty}^{\infty} f(-1+i s) e^{-i s \log t} d s\right\} d t$.
15.26,2,Theorem,"$\int_{I} t^{k} d \mu(t)=0 \quad(k=1,2,3, \ldots)$"
15.26,3,Theorem,$f(z)=\int_{I} t^{z} d \mu(t)$
15.26,1,Theorem,"$\int_{I} t^{\lambda_{n}} d \mu(t)=0 \quad(n=1,2,3, \ldots)$"
15.26,4,Theorem,$g(z)=f\left(\frac{1+z}{1-z}\right) \quad(z \in U)$.
15.26,5,Theorem,$f(z)=\frac{z}{(2+z)^{3}} \prod_{n=1}^{\infty} \frac{\lambda_{n}-z}{2+\lambda_{n}+z}$.
15.26,7,Theorem,$\frac{1}{1+z-i s}=\int_{0}^{1} t^{z-i s} d t \quad(\operatorname{Re} z>-1)$
15.26,6,Theorem,$f(z)=-\frac{1}{2 \pi} \int_{-\infty}^{\infty} \frac{f(-1+i s)}{-1+i s-z} d s \quad(\operatorname{Re} z>-1)$.
15.27,2,Remark,$\left|a_{n}\right| \leq\left(\frac{e \lambda}{n}\right)^{n / \lambda}$
15.3,3,Lemma,$\left|p_{N}-1\right| \leq p_{N}^{*}-1$
15.3,2,Lemma,$p_{N}^{*} \leq \exp \left(\left|u_{1}\right|+\cdots+\left|u_{N}\right|\right)$
15.4,8,Theorem,$|f(s)| \geq(1-2 \epsilon)\left|p_{N_{0}}(s)\right| \quad(s \in S)$
15.4,5,Theorem,$q_{M}-p_{N}=p_{N}\left\{\prod\left(1+u_{n_{k}}\right)-1\right\}$.
15.4,4,Theorem,"$\{1,2, \ldots, N\} \subset\left\{n_{1}, n_{2}, \ldots, n_{M}\right\}$"
15.4,6,Theorem,$\left|q_{M}-p_{N}\right| \leq\left|p_{N}\right|\left(e^{\epsilon}-1\right) \leq 2\left|p_{N}\right| \epsilon \leq 2 C \epsilon$
15.4,7,Theorem,$\left|p_{M}-p_{N_{0}}\right| \leq 2\left|p_{N_{0}}\right| \epsilon \quad\left(M>N_{0}\right)$
15.4,3,Theorem,$\sum_{n=N_{0}}^{\infty}\left|u_{n}(s)\right|<\epsilon \quad(s \in S)$.
15.4,2,Theorem,$f(s)=\prod_{k=1}^{\infty}\left(1+u_{n_{k}}(s)\right) \quad(s \in S)$
15.4,1,Theorem,$f(s)=\prod_{n=1}^{\infty}\left(1+u_{n}(s)\right)$
15.6,1,Theorem,$\sum_{n=1}^{\infty}\left|1-f_{n}(z)\right|$
15.6,2,Theorem,$\sum_{n=1}^{\infty}\left|1-f_{n}(z)\right|$
15.6,3,Theorem,$m(f ; z)=\sum_{n=1}^{\infty} m\left(f_{n} ; z\right) \quad(z \in \Omega)$
15.9,0,Theorem,$\sum_{n=1}^{\infty}\left(\frac{r}{r_{n}}\right)^{1+p_{n}}<\infty$
15.9,1,Theorem,"Condition  is always satisfied if $p_{n}=n-1$, for instance."
15.9,2,Theorem,$P(z)=\prod_{n=1}^{\infty} E_{p_{n}}\left(\frac{z}{z_{n}}\right)$
16.11,1,Theorem,"$\gamma\left(\left[s_{i}, s_{i+1}\right]\right) \subset A_{i}, \quad \gamma\left(\left[\sigma_{j}, \sigma_{j+1}\right]\right) \subset B_{j} \quad(0 \leq i \leq m, 0 \leq j \leq n)$."
16.11,2,Theorem,$\gamma\left(s_{i}\right) \in A_{i-1} \cap A_{i} \cap B_{j}$.
16.12,1,Definition,"$\gamma_{t}(s)=\varphi(s, t) \quad(s \in I, t \in I)$"
16.13,2,Theorem,"$\left|\gamma_{t}(s)-\gamma_{u}(s)\right|<\epsilon \quad$ if $s \in I, u \in I,|u-t|<\delta$"
16.13,1,Theorem,"$E_{i}=\gamma_{t}\left(\left[s_{i}, s_{i+1}\right]\right) \subset A_{i} \quad(i=0,1, \ldots, n-1)$"
16.14,2,Theorem,"$H(s, 0)=\Gamma(s), \quad H(s, 1)=c \in X, \quad H(0, t)=H(2 \pi, t)$"
16.14,1,Theorem,$\Gamma(s)=\left\{\begin{array}{ll}\Gamma_{0}(s) & (0 \leq s \leq \pi) \\ \Gamma_{1}(2 \pi-s) & (\pi \leq s \leq 2 \pi)\end{array}\right.$
16.14,8,Theorem,$\gamma_{1}(\theta)=\Phi\left(e^{-i \theta}\right)=\Phi\left(e^{i(2 \pi-\theta)}\right)=\Gamma(2 \pi-\theta)=\Gamma_{1}(\theta) \quad(0 \leq \theta \leq \pi)$
16.16,3,Remark,$\operatorname{Ind}_{\Gamma}(w)=\frac{1}{2 \pi i} \int_{\Gamma} g^{\prime}(z) d z=0$
16.16,2,Remark,$g_{\beta}(z)=\int_{\Gamma_{z}}(\zeta-w)^{-1} d \zeta+f(\alpha) \quad\left(z \in D_{\beta}\right)$
16.16,1,Remark,"$\Gamma_{z}=\gamma \dot{+}[\beta, z] \quad\left(z \in D_{\beta}\right)$"
16.19,9,Theorem,"$|2 z-4 n+1| \geq 1, \quad|2 z-4 n-1| \geq 1 \quad(n=0, \pm 1, \pm 2, \ldots)$"
16.19,3,Theorem,$Q \cap \varphi(Q)=\varnothing$
16.19,2,Theorem,$\operatorname{Im} \varphi(z)=\frac{\operatorname{Im} z}{|c z+d|^{2}}$
16.19,6,Theorem,$\operatorname{Im} \varphi(w) \leq \operatorname{Im} \varphi_{0}(w) \quad(\varphi \in \Gamma)$
16.19,7,Theorem,$\operatorname{Im} \varphi(z) \leq \operatorname{Im} z \quad(\varphi \in \Gamma)$
16.19,4,Theorem,$\operatorname{Im} z=\operatorname{Im} \varphi^{-1}(\varphi(z)) \leq \operatorname{Im} \varphi(z)$
16.2,1,Theorem,$f(z)=\sum_{n=0}^{\infty} a_{n} z^{n} \quad(z \in U)$
16.2,2,Theorem,"$h(z)=\left\{\begin{array}{ll}f(z) & (z \in U), \\ g_{i}(z) & \left(z \in D_{i}\right)\end{array}\right.$"
16.4,2,Remark,$f\left(z^{2}\right)=f(z)-z$
16.4,1,Remark,$f(z)=\sum_{n=0}^{\infty} z^{2^{n}}=z+z^{2}+z^{4}+z^{8}+\cdots \quad(z \in U)$
16.5,1,Theorem,"$\lambda q_{k}>(\lambda+1) p_{k} \quad(k=1,2,3, \ldots)$"
16.5,3,Theorem,$\varphi(w)=\frac{1}{2}\left(w^{\lambda}+w^{\lambda+1}\right)$
16.5,6,Theorem,$F(w)=\sum_{n=0}^{\infty} a_{n}[\varphi(w)]^{n} \quad(|w|<1)$
16.5,4,Theorem,$F(w)=\sum_{m=0}^{\infty} b_{m} w^{m}$
16.6,2,Theorem,$f(z)=\sum_{k=1}^{\infty} c_{k} z^{p_{k}}$
16.6,3,Theorem,"$f^{(k)}(z)=\sum_{n=k}^{\infty} n(n-1) \cdots(n-k+1) a_{n} \eta_{n} z^{n-k}$,"
16.6,1,Theorem,"$p_{k+1}>\left(1+\frac{1}{\lambda}\right) p_{k} \quad(k=1,2,3, \ldots)$"
16.9,2,Definition,"$\gamma\left(\left[s_{i}, s_{i+1}\right]\right) \subset D_{i} \quad(i=0, \ldots, n-1)$"
16.9,1,Definition,"$\left(f_{0}, D_{0}\right) \sim\left(f_{1}, D_{1}\right)$"
17.1,2,Theorem,$f=g h$
17.1,1,Theorem,$f=B \cdot h^{2 / p}$.
17.11,2,Theorem,"$\left(N_{\alpha} f\right)^{p} \leq\left(N_{\alpha} h\right)^{2}$,"
17.11,1,Theorem,$f=B h^{2 / p}$
17.11,4,Theorem,"$f_{r}(z)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} P\left(z, e^{i t}\right) f_{r}\left(e^{i t}\right) d t$."
17.11,6,Theorem,"and
\[
f(z)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} P\left(z, e^{i t}\right) f^{*}\left(e^{i t}\right) d t .
\]"
17.13,1,Theorem,$\int_{T} e^{-i n t} d \mu(t)=0$
17.13,3,Theorem,"$P\left(z, e^{i t}\right)=\sum_{-\infty}^{\infty} r^{|n|} e^{i n \theta} e^{-i n t}$"
17.13,2,Theorem,$\left\|f_{r}\right\|_{1} \leq\|\mu\| \quad(0 \leq r<1)$.
17.13,4,Theorem,$f(z)=\sum_{0}^{\infty} \hat{\mu}(n) z^{n} \quad(z \in U)$
17.14,1,Definition,$Q(z)=c \exp \left\{\frac{1}{2 \pi} \int_{-\pi}^{\pi} \frac{e^{i t}+z}{e^{i t}-z} \log \varphi\left(e^{i t}\right) d t\right\}$
17.15,1,Theorem,$M(z)=c B(z) \exp \left\{-\int_{-\pi}^{\pi} \frac{e^{i t}+z}{e^{i t}-z} d \mu(t)\right\} \quad(z \in U)$
17.17,8,Theorem,$P\left[\log ^{-}\left|f^{*}\right|\right] \leq \liminf _{R \rightarrow 1} P\left[\log ^{-}\left|f_{R}\right|\right]=P\left[\log ^{+}\left|f^{*}\right|\right]-\log |f|$
17.17,5,Theorem,$|f(z)| \leq\left|Q_{f}(z)\right| \quad(z \in U)$
